timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787904682.3602967,32.0,54.0,17.173828125,0.0,1634.50390625,8188.0,19.962187423668784
1787904682.6688697,35.1,52.9,16.8134765625,0.0,1634.50390625,8188.0,19.962187423668784
1787904682.973022,47.7,52.9,16.81686019897461,0.0,1634.50390625,8188.0,19.962187423668784
1787904683.2809348,44.6,52.4,16.639385223388672,0.0,1634.50390625,8188.0,19.962187423668784
1787904683.585648,50.0,52.4,16.642101287841797,0.0,1634.50390625,8188.0,19.962187423668784
1787904683.9102309,45.6,52.4,16.639732360839844,0.0,1634.50390625,8188.0,19.962187423668784
1787904684.2462094,46.6,52.4,16.640670776367188,0.0,1634.50390625,8188.0,19.962187423668784
1787904685.3174443,29.7,52.3,16.634456634521484,0.0,1634.50390625,8188.0,19.962187423668784
1787904690.6983194,9.2,52.3,16.635677337646484,0.0,1634.50390625,8188.0,19.962187423668784
1787904691.000461,37.1,56.6,18.003074645996094,0.0,1634.50390625,8188.0,19.962187423668784
1787904691.3029156,40.0,56.9,18.07996368408203,0.0,1634.50390625,8188.0,19.962187423668784
1787904691.6144657,51.4,56.9,18.07733917236328,0.0,1634.50390625,8188.0,19.962187423668784
1787904691.920709,45.3,56.9,18.07392120361328,0.0,1634.50390625,8188.0,19.962187423668784
1787904692.222638,41.8,56.9,18.07064437866211,0.0,1634.50390625,8188.0,19.962187423668784
1787904692.527137,47.8,56.8,18.06725311279297,0.0,1634.50390625,8188.0,19.962187423668784
1787904692.8363075,49.4,56.8,18.06719207763672,0.0,1634.50390625,8188.0,19.962187423668784
1787904693.1398103,54.7,56.9,18.070396423339844,0.0,1634.50390625,8188.0,19.962187423668784
1787904694.1404383,42.6,56.8,18.06646728515625,0.0,1634.50390625,8188.0,19.962187423668784
1787904699.4254997,8.9,56.8,18.06698989868164,0.0,1634.50390625,8188.0,19.962187423668784
1787904699.7274287,43.2,56.1,17.84329605102539,0.0,1634.50390625,8188.0,19.962187423668784
1787904700.0324266,42.6,52.9,16.821178436279297,0.0,1634.50390625,8188.0,19.962187423668784
1787904700.344881,47.2,52.9,16.817607879638672,0.0,1634.50390625,8188.0,19.962187423668784
1787904700.6479766,43.7,52.9,16.802478790283203,0.0,1634.50390625,8188.0,19.962187423668784
1787904700.9535847,47.6,52.9,16.799922943115234,0.0,1634.50390625,8188.0,19.962187423668784
1787904701.2654388,46.1,52.8,16.794578552246094,0.0,1634.50390625,8188.0,19.962187423668784
1787904701.567386,40.7,52.8,16.794879913330078,0.0,1634.50390625,8188.0,19.962187423668784
1787904701.8781853,47.1,52.8,16.793582916259766,0.0,1634.50390625,8188.0,19.962187423668784
1787904702.8597367,48.1,52.9,16.801498413085938,0.0,1634.50390625,8188.0,19.962187423668784
1787904708.1822994,11.2,52.9,16.801799774169922,0.0,1634.50390625,8188.0,19.962187423668784
1787904708.4876983,34.7,55.0,17.46753692626953,0.0,1634.50390625,8188.0,19.962187423668784
1787904708.7965653,44.3,54.1,17.1790771484375,0.0,1634.50390625,8188.0,19.962187423668784
1787904709.100533,50.2,54.0,17.171737670898438,0.0,1634.50390625,8188.0,19.962187423668784
1787904709.411553,42.0,54.1,17.178573608398438,0.0,1634.50390625,8188.0,19.962187423668784
1787904709.7157085,44.2,54.0,17.166820526123047,0.0,1634.50390625,8188.0,19.962187423668784
1787904710.0178356,47.5,54.0,17.159801483154297,0.0,1634.50390625,8188.0,19.962187423668784
1787904710.3204148,48.1,54.0,17.15911102294922,0.0,1634.50390625,8188.0,19.962187423668784
1787904710.625238,48.9,54.0,17.15909194946289,0.0,1634.50390625,8188.0,19.962187423668784
1787904711.6875613,44.8,54.0,17.165855407714844,0.0,1634.50390625,8188.0,19.962187423668784
1787904717.254125,9.4,54.0,17.1612548828125,0.0,1634.50390625,8188.0,19.962187423668784
1787904717.5613484,41.6,54.7,17.378177642822266,0.0,1634.50390625,8188.0,19.962187423668784
1787904717.8630252,45.9,54.7,17.374217987060547,0.0,1634.50390625,8188.0,19.962187423668784
1787904718.166858,45.6,54.6,17.367183685302734,0.0,1634.50390625,8188.0,19.962187423668784
1787904718.4711013,50.4,54.6,17.356056213378906,0.0,1634.50390625,8188.0,19.962187423668784
1787904718.7770538,47.1,54.6,17.3529052734375,0.0,1634.50390625,8188.0,19.962187423668784
1787904719.0873299,46.3,54.6,17.3551025390625,0.0,1634.50390625,8188.0,19.962187423668784
1787904719.3959956,47.9,54.6,17.356975555419922,0.0,1634.50390625,8188.0,19.962187423668784
1787904719.6984,50.8,54.6,17.35791015625,0.0,1634.50390625,8188.0,19.962187423668784
1787904720.7023077,49.9,54.6,17.363075256347656,0.0,1634.50390625,8188.0,19.962187423668784
1787904724.6656187,10.2,54.6,17.348114013671875,0.0,1634.50390625,8188.0,19.962187423668784
1787904724.9687598,36.0,54.6,17.36627960205078,1.0,1634.50390625,8188.0,19.962187423668784
1787904725.275211,41.2,54.6,17.3662109375,0.0,1634.50390625,8188.0,19.962187423668784
1787904725.5801852,53.7,54.6,17.363872528076172,0.0,1634.50390625,8188.0,19.962187423668784
1787904725.8848047,40.1,54.6,17.36054229736328,0.0,1634.50390625,8188.0,19.962187423668784
1787904726.189847,44.9,54.6,17.353191375732422,0.0,1634.50390625,8188.0,19.962187423668784
1787904726.5103526,45.6,54.6,17.354732513427734,0.0,1634.50390625,8188.0,19.962187423668784
