timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787907973.5791821,31.5,53.4,16.967304229736328,0.0,1634.50390625,8188.0,19.962187423668784
1787907973.8862016,36.2,52.8,16.793827056884766,0.0,1634.50390625,8188.0,19.962187423668784
1787907974.1894724,47.7,52.9,16.796924591064453,0.0,1634.50390625,8188.0,19.962187423668784
1787907974.4952514,48.9,53.4,16.98035430908203,0.0,1634.50390625,8188.0,19.962187423668784
1787907974.802808,50.2,53.4,16.9752197265625,0.0,1634.50390625,8188.0,19.962187423668784
1787907975.1290722,42.8,53.4,16.969398498535156,0.0,1634.50390625,8188.0,19.962187423668784
1787907977.593547,23.4,53.4,16.97195053100586,0.0,1634.50390625,8188.0,19.962187423668784
1787907977.8953078,37.6,54.0,17.15276336669922,0.0,1634.50390625,8188.0,19.962187423668784
1787907978.1969914,48.3,54.0,17.158203125,0.0,1634.50390625,8188.0,19.962187423668784
1787907978.5025709,50.1,54.0,17.158771514892578,0.0,1634.50390625,8188.0,19.962187423668784
1787907979.570231,46.9,54.0,17.153377532958984,0.0,1634.50390625,8188.0,19.962187423668784
1787907981.0195963,7.6,54.0,17.14877700805664,0.0,1634.50390625,8188.0,19.962187423668784
1787907981.32527,43.3,54.0,17.15666961669922,0.0,1634.50390625,8188.0,19.962187423668784
1787907981.6278133,48.9,54.0,17.15866470336914,0.0,1634.50390625,8188.0,19.962187423668784
1787907981.931211,43.0,54.0,17.150447845458984,0.0,1634.50390625,8188.0,19.962187423668784
1787907982.9039702,46.8,54.0,17.151382446289062,0.0,1634.50390625,8188.0,19.962187423668784
1787907984.3948882,10.5,54.0,17.148834228515625,0.0,1634.50390625,8188.0,19.962187423668784
1787907984.698684,42.7,53.4,16.973861694335938,0.0,1634.50390625,8188.0,19.962187423668784
1787907985.0056658,55.6,53.4,16.974872589111328,0.0,1634.50390625,8188.0,19.962187423668784
1787907985.3152287,47.9,53.4,16.970947265625,0.0,1634.50390625,8188.0,19.962187423668784
1787907986.3585334,46.0,53.4,16.977569580078125,0.0,1634.50390625,8188.0,19.962187423668784
1787907987.940011,9.9,53.4,16.96640396118164,0.0,1634.50390625,8188.0,19.962187423668784
1787907988.2445128,39.0,54.0,17.159954071044922,0.0,1634.50390625,8188.0,19.962187423668784
1787907988.550781,44.8,54.0,17.15453338623047,0.0,1634.50390625,8188.0,19.962187423668784
1787907988.8555682,52.6,54.0,17.151470184326172,0.0,1634.50390625,8188.0,19.962187423668784
1787907989.858618,45.2,54.0,17.148509979248047,0.0,1634.50390625,8188.0,19.962187423668784
1787907991.3543348,7.9,53.9,17.14199447631836,0.0,1634.50390625,8188.0,19.962187423668784
1787907991.6563141,39.8,53.4,16.967090606689453,0.0,1634.50390625,8188.0,19.962187423668784
1787907991.9579132,49.3,53.4,16.967361450195312,0.0,1634.50390625,8188.0,19.962187423668784
1787907993.2111366,47.0,53.4,16.971912384033203,0.0,1634.50390625,8188.0,19.962187423668784
1787907994.7884018,11.2,53.4,16.97412109375,0.0,1634.50390625,8188.0,19.962187423668784
1787907995.0927696,47.4,54.0,17.160175323486328,0.0,1634.50390625,8188.0,19.962187423668784
1787907995.394944,49.1,54.0,17.148590087890625,0.0,1634.50390625,8188.0,19.962187423668784
1787907995.6969688,40.4,53.9,17.145221710205078,0.0,1634.50390625,8188.0,19.962187423668784
