workload,R,B,T,F_us,n_retained,b_layer,b_layer_pct_fp16,quantized_bytes,scales_zp_bytes,residual_bytes,gear_buffer_bytes,retained_bytes_total,transfer_bytes,fetch_count,t_transfer_s,t_gpu_s,t_step_s,pen_s,bn_lat_us_per_mb,tier_fraction,compute_dominant
W2_GSM8K_900,100%,16bit,GPU+host,10.55,900,14745600.0,100.0,0.0,0.0,0.0,0.0,471859200.0,188743680.0,64,0.006667062857142857,0.0069759296,0.0069759296,0.0,35.32337007068452,0.48868038871136976,True
W2_GSM8K_900,100%,2bit,GPU-only,2.0,900,4468736.0,30.305555555555557,2371584.0,790528.0,2097152.0,0.0,142999552.0,0.0,0,0.0,0.006811499776,0.006811499776,0.0,nan,0.0,True
W2_GSM8K_900,100%,2bit,GPU-only,10.55,900,4468736.0,30.305555555555557,2371584.0,790528.0,2097152.0,0.0,142999552.0,0.0,0,0.0,0.006811499776,0.006811499776,0.0,nan,0.0,True
W2_GSM8K_900,100%,2bit,GPU+host,2.0,900,4468736.0,30.305555555555557,2371584.0,790528.0,2097152.0,0.0,142999552.0,57199820.800000004,64,0.0019438673269841272,0.006811499776,0.006811499776,0.0,33.98380099442772,0.2220200825527454,True
W2_GSM8K_900,100%,2bit,GPU+host,10.55,900,4468736.0,30.305555555555557,2371584.0,790528.0,2097152.0,0.0,142999552.0,57199820.800000004,64,0.0024910673269841273,0.006811499776,0.006811499776,0.0,43.55026453132047,0.2677827850534966,True
W2_GSM8K_900,60%,16bit,GPU-only,2.0,540,8847360.0,100.0,0.0,0.0,0.0,0.0,283115520.0,0.0,0,0.0,0.00688155776,0.00688155776,0.0,nan,0.0,True
W2_GSM8K_900,60%,16bit,GPU-only,10.55,540,8847360.0,100.0,0.0,0.0,0.0,0.0,283115520.0,0.0,0,0.0,0.00688155776,0.00688155776,0.0,nan,0.0,True
W2_GSM8K_900,60%,16bit,GPU+host,2.0,540,8847360.0,100.0,0.0,0.0,0.0,0.0,283115520.0,113246208.0,64,0.0037231177142857145,0.00688155776,0.00688155776,0.0,32.876312417328045,0.3510826638036736,True
W2_GSM8K_900,60%,16bit,GPU+host,10.55,540,8847360.0,100.0,0.0,0.0,0.0,0.0,283115520.0,113246208.0,64,0.004270317714285715,0.00688155776,0.00688155776,0.0,37.708262287119716,0.3829237265186761,True
W2_GSM8K_900,60%,2bit,GPU-only,2.0,540,3362816.0,38.00925925925926,1265664.0,421888.0,2097152.0,0.0,107610112.0,0.0,0,0.0,0.006793805056,0.006793805056,0.0,nan,0.0,True
W2_GSM8K_900,60%,2bit,GPU-only,10.55,540,3362816.0,38.00925925925926,1265664.0,421888.0,2097152.0,0.0,107610112.0,0.0,0,0.0,0.006793805056,0.006793805056,0.0,nan,0.0,True
W2_GSM8K_900,60%,2bit,GPU+host,2.0,540,3362816.0,38.00925925925926,1265664.0,421888.0,2097152.0,0.0,107610112.0,43044044.800000004,64,0.001494477612698413,0.006793805056,0.006793805056,0.0,34.7197299798929,0.18031209509087662,True
W2_GSM8K_900,60%,2bit,GPU+host,10.55,540,3362816.0,38.00925925925926,1265664.0,421888.0,2097152.0,0.0,107610112.0,43044044.800000004,64,0.002041677612698413,0.006793805056,0.006793805056,0.0,47.432289929649286,0.23107708874032343,True
W2_GSM8K_900,20%,16bit,GPU-only,2.0,180,2949120.0,100.0,0.0,0.0,0.0,0.0,94371840.0,0.0,0,0.0,0.00678718592,0.00678718592,0.0,nan,0.0,True
W2_GSM8K_900,20%,16bit,GPU-only,10.55,180,2949120.0,100.0,0.0,0.0,0.0,0.0,94371840.0,0.0,0,0.0,0.00678718592,0.00678718592,0.0,nan,0.0,True
W2_GSM8K_900,20%,16bit,GPU+host,2.0,180,2949120.0,100.0,0.0,0.0,0.0,0.0,94371840.0,37748736.0,32,0.0012623725714285714,0.00678718592,0.00678718592,0.0,33.44145275297619,0.15682506969454119,True
W2_GSM8K_900,20%,16bit,GPU+host,10.55,180,2949120.0,100.0,0.0,0.0,0.0,0.0,94371840.0,37748736.0,32,0.0015359725714285714,0.00678718592,0.00678718592,0.0,40.68937755766369,0.18454203089011942,True
W2_GSM8K_900,20%,2bit,GPU-only,2.0,180,2256896.0,76.52777777777777,159744.0,53248.0,2097152.0,0.0,72220672.0,0.0,0,0.0,0.006776110336,0.006776110336,0.0,nan,0.0,True
W2_GSM8K_900,20%,2bit,GPU-only,10.55,180,2256896.0,76.52777777777777,159744.0,53248.0,2097152.0,0.0,72220672.0,0.0,0,0.0,0.006776110336,0.006776110336,0.0,nan,0.0,True
W2_GSM8K_900,20%,2bit,GPU+host,2.0,180,2256896.0,76.52777777777777,159744.0,53248.0,2097152.0,0.0,72220672.0,28888268.8,32,0.0009810878984126985,0.006776110336,0.006776110336,0.0,33.96146391481577,0.12647451679916713,True
W2_GSM8K_900,20%,2bit,GPU+host,10.55,180,2256896.0,76.52777777777777,159744.0,53248.0,2097152.0,0.0,72220672.0,28888268.8,32,0.0012546878984126984,0.006776110336,0.006776110336,0.0,43.432436436367496,0.15623451888459194,True
