timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787899893.0322192,36.9,54.1,17.206317901611328,22.0,1797.88671875,8188.0,21.957580834758183
1787899893.3354287,92.1,53.8,17.08642578125,22.0,1797.88671875,8188.0,21.957580834758183
1787899894.1453218,45.7,53.8,17.097259521484375,20.0,1797.88671875,8188.0,21.957580834758183
1787899894.747498,69.6,53.8,17.094436645507812,17.0,1797.88671875,8188.0,21.957580834758183
1787899895.1240406,13.5,53.8,17.09119415283203,21.0,1797.88671875,8188.0,21.957580834758183
1787899895.7233994,70.4,53.8,17.092605590820312,17.0,1797.88671875,8188.0,21.957580834758183
1787899896.049941,13.7,53.8,17.093582153320312,19.0,1797.88671875,8188.0,21.957580834758183
1787899896.6239562,78.8,53.8,17.101051330566406,22.0,1797.88671875,8188.0,21.957580834758183
1787899896.9574175,17.5,53.8,17.109283447265625,22.0,1797.88671875,8188.0,21.957580834758183
1787899897.5261292,74.2,54.0,17.158336639404297,18.0,1797.88671875,8188.0,21.957580834758183
1787899897.9316714,26.3,54.0,17.15469741821289,18.0,1797.88671875,8188.0,21.957580834758183
1787899898.5226512,73.4,54.0,17.159160614013672,17.0,1797.88671875,8188.0,21.957580834758183
1787899898.8555722,21.3,54.0,17.15558624267578,17.0,1797.88671875,8188.0,21.957580834758183
1787899899.4191546,74.9,53.9,17.119979858398438,18.0,1797.88671875,8188.0,21.957580834758183
1787899899.7523766,12.2,53.9,17.118724822998047,19.0,1797.88671875,8188.0,21.957580834758183
1787899900.32372,78.1,53.9,17.118263244628906,20.0,1797.88671875,8188.0,21.957580834758183
1787899900.6523182,10.2,53.9,17.117080688476562,19.0,1797.88671875,8188.0,21.957580834758183
1787899901.2328687,70.0,53.9,17.121517181396484,20.0,1797.88671875,8188.0,21.957580834758183
1787899901.5675938,11.2,53.9,17.119220733642578,22.0,1797.88671875,8188.0,21.957580834758183
