timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787899877.526716,38.3,54.1,17.17920684814453,17.0,1797.88671875,8188.0,21.957580834758183
1787899877.8308759,94.9,53.5,17.016544342041016,17.0,1797.88671875,8188.0,21.957580834758183
1787899878.1363149,100.0,54.0,17.165843963623047,18.0,1797.88671875,8188.0,21.957580834758183
1787899878.443109,100.0,54.0,17.16539764404297,22.0,1797.88671875,8188.0,21.957580834758183
1787899879.2831001,42.3,54.1,17.17782211303711,20.0,1797.88671875,8188.0,21.957580834758183
1787899879.586924,85.4,54.0,17.161972045898438,18.0,1797.88671875,8188.0,21.957580834758183
1787899879.889077,100.0,54.0,17.160282135009766,18.0,1797.88671875,8188.0,21.957580834758183
1787899880.39903,76.1,54.0,17.162120819091797,22.0,1797.88671875,8188.0,21.957580834758183
1787899880.75154,14.8,54.0,17.163097381591797,21.0,1797.88671875,8188.0,21.957580834758183
1787899881.0548267,81.9,54.0,17.155967712402344,20.0,1797.88671875,8188.0,21.957580834758183
1787899881.3562968,100.0,54.0,17.15502166748047,20.0,1797.88671875,8188.0,21.957580834758183
1787899881.8978179,74.1,54.2,17.22266387939453,22.0,1797.88671875,8188.0,21.957580834758183
1787899882.2788012,23.6,54.2,17.214038848876953,20.0,1797.88671875,8188.0,21.957580834758183
1787899882.583029,95.3,54.1,17.191265106201172,21.0,1797.88671875,8188.0,21.957580834758183
1787899882.8852205,100.0,54.1,17.194862365722656,21.0,1797.88671875,8188.0,21.957580834758183
1787899883.3860095,76.2,54.4,17.283374786376953,19.0,1797.88671875,8188.0,21.957580834758183
1787899883.7141125,23.9,54.4,17.29450225830078,17.0,1797.88671875,8188.0,21.957580834758183
1787899884.0168333,93.6,54.5,17.308837890625,19.0,1797.88671875,8188.0,21.957580834758183
1787899884.318713,100.0,54.5,17.307315826416016,19.0,1797.88671875,8188.0,21.957580834758183
1787899884.8508563,77.8,54.3,17.267742156982422,21.0,1797.88671875,8188.0,21.957580834758183
1787899885.1971972,19.2,54.2,17.217273712158203,23.0,1797.88671875,8188.0,21.957580834758183
1787899885.5028362,94.6,53.6,17.036426544189453,18.0,1797.88671875,8188.0,21.957580834758183
1787899885.807541,100.0,53.6,17.036941528320312,18.0,1797.88671875,8188.0,21.957580834758183
1787899886.2849264,79.6,53.6,17.041244506835938,21.0,1797.88671875,8188.0,21.957580834758183
1787899886.6198933,11.6,53.6,17.03394317626953,21.0,1797.88671875,8188.0,21.957580834758183
1787899886.9221394,86.0,54.6,17.362403869628906,21.0,1797.88671875,8188.0,21.957580834758183
1787899887.2243106,100.0,54.6,17.36365509033203,22.0,1797.88671875,8188.0,21.957580834758183
1787899887.778817,76.5,54.7,17.373943328857422,22.0,1797.88671875,8188.0,21.957580834758183
1787899888.1500385,11.5,54.7,17.37122344970703,18.0,1797.88671875,8188.0,21.957580834758183
1787899888.453988,89.0,54.1,17.203388214111328,18.0,1797.88671875,8188.0,21.957580834758183
1787899888.7566562,100.0,54.1,17.202320098876953,18.0,1797.88671875,8188.0,21.957580834758183
1787899889.2897549,77.0,54.2,17.21078109741211,15.0,1797.88671875,8188.0,21.957580834758183
1787899889.7134733,13.8,54.2,17.21068572998047,19.0,1797.88671875,8188.0,21.957580834758183
1787899890.0180779,97.8,54.7,17.37462615966797,20.0,1797.88671875,8188.0,21.957580834758183
1787899890.3212268,100.0,54.7,17.37436294555664,20.0,1797.88671875,8188.0,21.957580834758183
1787899890.8562665,75.4,54.7,17.381698608398438,20.0,1797.88671875,8188.0,21.957580834758183
1787899891.217538,12.2,54.7,17.38135528564453,26.0,1797.88671875,8188.0,21.957580834758183
1787899891.5195394,83.8,54.2,17.209716796875,21.0,1797.88671875,8188.0,21.957580834758183
1787899891.8240504,100.0,54.1,17.209426879882812,21.0,1797.88671875,8188.0,21.957580834758183
