timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787899763.7383595,46.4,54.2,17.23458480834961,23.0,1797.88671875,8188.0,21.957580834758183
1787899764.041545,64.6,53.7,17.055461883544922,20.0,1797.88671875,8188.0,21.957580834758183
1787899764.343152,100.0,54.2,17.223323822021484,17.0,1797.88671875,8188.0,21.957580834758183
1787899764.653563,100.0,54.2,17.21929168701172,17.0,1797.88671875,8188.0,21.957580834758183
1787899765.524449,41.9,54.2,17.214187622070312,18.0,1797.88671875,8188.0,21.957580834758183
1787899765.8270464,93.8,54.2,17.225170135498047,17.0,1797.88671875,8188.0,21.957580834758183
1787899766.1304514,100.0,54.2,17.219940185546875,17.0,1797.88671875,8188.0,21.957580834758183
1787899766.6188755,74.2,54.2,17.213359832763672,20.0,1797.88671875,8188.0,21.957580834758183
1787899766.9968572,24.6,54.1,17.198787689208984,18.0,1797.88671875,8188.0,21.957580834758183
1787899767.3017602,93.8,54.1,17.196762084960938,17.0,1797.88671875,8188.0,21.957580834758183
1787899767.6042438,100.0,54.1,17.19705581665039,17.0,1797.88671875,8188.0,21.957580834758183
1787899768.1271987,74.2,54.1,17.198589324951172,19.0,1797.88671875,8188.0,21.957580834758183
1787899768.4992926,20.9,54.1,17.198657989501953,23.0,1797.88671875,8188.0,21.957580834758183
1787899768.8042426,83.8,54.1,17.19269561767578,21.0,1797.88671875,8188.0,21.957580834758183
1787899769.1056936,100.0,54.1,17.19109344482422,21.0,1797.88671875,8188.0,21.957580834758183
1787899769.587444,78.4,54.1,17.204681396484375,19.0,1797.88671875,8188.0,21.957580834758183
1787899769.9145863,14.0,54.1,17.205364227294922,21.0,1797.88671875,8188.0,21.957580834758183
1787899770.2204192,84.2,54.1,17.188621520996094,21.0,1797.88671875,8188.0,21.957580834758183
1787899770.521709,100.0,54.1,17.184032440185547,21.0,1797.88671875,8188.0,21.957580834758183
1787899771.0390172,68.4,54.1,17.18195343017578,19.0,1797.88671875,8188.0,21.957580834758183
1787899771.397589,11.8,54.1,17.184078216552734,20.0,1797.88671875,8188.0,21.957580834758183
1787899771.7015524,83.1,54.1,17.179481506347656,20.0,1797.88671875,8188.0,21.957580834758183
1787899772.004666,100.0,53.5,17.00859832763672,21.0,1797.88671875,8188.0,21.957580834758183
1787899772.5395896,73.6,53.5,17.008541107177734,19.0,1797.88671875,8188.0,21.957580834758183
1787899772.8688436,10.3,53.5,17.003833770751953,18.0,1797.88671875,8188.0,21.957580834758183
1787899773.1714013,92.3,54.5,17.33116912841797,18.0,1797.88671875,8188.0,21.957580834758183
1787899773.4733307,100.0,54.5,17.328388214111328,22.0,1797.88671875,8188.0,21.957580834758183
1787899774.0146246,85.7,54.4,17.288280487060547,23.0,1797.88671875,8188.0,21.957580834758183
1787899774.3977585,21.6,54.5,17.330806732177734,21.0,1797.88671875,8188.0,21.957580834758183
1787899774.7039363,90.3,54.0,17.176544189453125,21.0,1797.88671875,8188.0,21.957580834758183
1787899775.0064876,100.0,54.0,17.15503692626953,24.0,1797.88671875,8188.0,21.957580834758183
1787899775.4939635,71.1,54.0,17.161914825439453,17.0,1797.88671875,8188.0,21.957580834758183
1787899775.8318765,11.8,54.0,17.16122055053711,22.0,1797.88671875,8188.0,21.957580834758183
1787899776.1356938,88.9,54.0,17.150012969970703,22.0,1797.88671875,8188.0,21.957580834758183
1787899776.4392135,100.0,54.0,17.149734497070312,17.0,1797.88671875,8188.0,21.957580834758183
1787899776.9398074,71.4,54.0,17.16574478149414,21.0,1797.88671875,8188.0,21.957580834758183
1787899777.3189244,15.8,54.0,17.1663818359375,21.0,1797.88671875,8188.0,21.957580834758183
1787899777.6228824,96.4,54.0,17.158920288085938,21.0,1797.88671875,8188.0,21.957580834758183
1787899777.9259124,100.0,54.0,17.15987777709961,21.0,1797.88671875,8188.0,21.957580834758183
