timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787899668.2758045,49.9,53.6,17.047298431396484,18.0,1797.88671875,8188.0,21.957580834758183
1787899668.58864,83.8,54.2,17.21343994140625,20.0,1797.88671875,8188.0,21.957580834758183
1787899669.2929997,76.0,53.6,17.037139892578125,20.0,1797.88671875,8188.0,21.957580834758183
1787899669.9773386,72.3,54.2,17.21628189086914,21.0,1797.88671875,8188.0,21.957580834758183
1787899670.633359,75.8,53.6,17.032913208007812,19.0,1797.88671875,8188.0,21.957580834758183
1787899671.2902327,79.2,54.2,17.224899291992188,23.0,1797.88671875,8188.0,21.957580834758183
1787899671.9444604,74.1,53.7,17.06119155883789,22.0,1797.88671875,8188.0,21.957580834758183
1787899672.58823,73.7,54.2,17.238750457763672,20.0,1797.88671875,8188.0,21.957580834758183
1787899673.2398384,78.3,53.7,17.070880889892578,18.0,1797.88671875,8188.0,21.957580834758183
1787899673.8848054,73.2,54.3,17.249988555908203,21.0,1797.88671875,8188.0,21.957580834758183
1787899674.5936103,72.4,53.7,17.064285278320312,18.0,1797.88671875,8188.0,21.957580834758183
1787899675.2356493,77.0,54.3,17.24713897705078,18.0,1797.88671875,8188.0,21.957580834758183
1787899675.914016,75.1,53.8,17.091819763183594,21.0,1797.88671875,8188.0,21.957580834758183
1787899676.551366,75.2,54.3,17.265182495117188,19.0,1797.88671875,8188.0,21.957580834758183
1787899677.194929,73.5,53.7,17.081600189208984,20.0,1797.88671875,8188.0,21.957580834758183
1787899677.8772676,73.7,54.3,17.271583557128906,19.0,1797.88671875,8188.0,21.957580834758183
1787899678.527381,71.2,53.8,17.085433959960938,19.0,1797.88671875,8188.0,21.957580834758183
1787899679.1599214,72.2,54.3,17.26797866821289,16.0,1797.88671875,8188.0,21.957580834758183
1787899679.8315203,72.5,53.8,17.087692260742188,19.0,1797.88671875,8188.0,21.957580834758183
1787899680.4809523,77.7,54.3,17.26831817626953,19.0,1797.88671875,8188.0,21.957580834758183
