timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent
1787898035.3752522,21.6,55.1,17.510108947753906,35.0,1677.10546875,8188.0,20.482480077552516
1787898035.6899848,14.6,55.1,17.51403045654297,34.0,1677.10546875,8188.0,20.482480077552516
1787898036.0010595,16.5,55.2,17.52770233154297,34.0,1677.41796875,8188.0,20.48629663837323
1787898036.311132,17.4,55.1,17.52126693725586,42.0,1677.48046875,8188.0,20.487059950537372
1787898036.6255016,12.6,55.1,17.52716827392578,37.0,1677.48046875,8188.0,20.487059950537372
1787898036.9350889,16.8,55.1,17.524520874023438,37.0,1677.35546875,8188.0,20.485533326209087
1787898037.2467415,15.9,55.1,17.52434539794922,30.0,1677.35546875,8188.0,20.485533326209087
1787898037.559785,18.1,55.1,17.523834228515625,30.0,1677.35546875,8188.0,20.485533326209087
1787898037.869269,27.2,55.1,17.52326202392578,30.0,1677.35546875,8188.0,20.485533326209087
1787898038.1784306,16.6,55.1,17.52574920654297,31.0,1677.35546875,8188.0,20.485533326209087
1787898038.4880242,14.7,55.1,17.5257568359375,31.0,1673.98046875,8188.0,20.444314469345382
1787898038.7968273,16.5,55.1,17.523853302001953,33.0,1673.98046875,8188.0,20.444314469345382
1787898039.109383,16.5,55.1,17.522930145263672,33.0,1673.98046875,8188.0,20.444314469345382
1787898039.4181483,10.3,55.1,17.514385223388672,33.0,1673.98046875,8188.0,20.444314469345382
1787898039.7285275,21.9,55.1,17.5185546875,34.0,1673.98046875,8188.0,20.444314469345382
1787898040.0400033,27.0,55.1,17.5223388671875,41.0,1674.23046875,8188.0,20.447367718001953
1787898040.3503375,18.4,55.1,17.523296356201172,41.0,1674.10546875,8188.0,20.445841093673668
1787898040.6568532,14.9,55.1,17.526363372802734,38.0,1674.10546875,8188.0,20.445841093673668
1787898040.9711647,15.1,55.1,17.524036407470703,38.0,1673.98046875,8188.0,20.444314469345382
1787898041.8441226,25.7,55.2,17.5440673828125,31.0,1675.23046875,8188.0,20.459580712628238
1787898042.158647,19.5,55.2,17.531925201416016,36.0,1675.23046875,8188.0,20.459580712628238
1787898042.4715588,30.5,55.3,17.565608978271484,36.0,1675.85546875,8188.0,20.467213834269664
1787898042.783388,22.0,55.3,17.58089828491211,35.0,1675.85546875,8188.0,20.467213834269664
1787898043.0951607,19.5,55.3,17.580406188964844,35.0,1677.41796875,8188.0,20.48629663837323
1787898043.4030871,17.8,55.3,17.581806182861328,35.0,1677.66796875,8188.0,20.4893498870298
1787898043.7125173,28.5,55.3,17.5821533203125,38.0,1677.23046875,8188.0,20.4840067018808
1787898044.0228758,17.8,55.4,17.599117279052734,38.0,1677.23046875,8188.0,20.4840067018808
1787898044.3336208,19.0,55.4,17.612781524658203,41.0,1677.23046875,8188.0,20.4840067018808
1787898045.238147,20.0,55.4,17.606460571289062,33.0,1677.23046875,8188.0,20.4840067018808
1787898045.5474973,30.6,55.5,17.650318145751953,33.0,1675.69921875,8188.0,20.465305553859306
1787898045.8579893,26.9,55.5,17.651107788085938,33.0,1675.69921875,8188.0,20.465305553859306
1787898046.1692464,20.5,55.5,17.649425506591797,32.0,1675.32421875,8188.0,20.46072568087445
1787898046.4777682,29.0,55.5,17.631980895996094,32.0,1675.32421875,8188.0,20.46072568087445
1787898046.7872427,20.2,55.5,17.632041931152344,33.0,1675.32421875,8188.0,20.46072568087445
1787898047.0981388,15.2,55.5,17.650306701660156,33.0,1674.13671875,8188.0,20.44622274975574
1787898047.4088733,13.0,55.5,17.642902374267578,33.0,1674.13671875,8188.0,20.44622274975574
1787898047.7168288,17.4,55.5,17.63239288330078,45.0,1673.82421875,8188.0,20.442406188935028
1787898048.2828705,23.6,55.5,17.6361083984375,41.0,1673.82421875,8188.0,20.442406188935028
1787898048.654855,24.1,55.5,17.64330291748047,29.0,1673.82421875,8188.0,20.442406188935028
1787898048.960317,24.1,55.6,17.658878326416016,29.0,1673.82421875,8188.0,20.442406188935028
1787898049.2670467,18.8,55.5,17.648101806640625,32.0,1673.94921875,8188.0,20.443932813263313
1787898049.578044,19.4,55.5,17.647075653076172,31.0,1673.94921875,8188.0,20.443932813263313
1787898049.8858228,25.1,55.6,17.668148040771484,31.0,1684.07421875,8188.0,20.567589383854422
1787898050.1967888,29.1,55.6,17.668407440185547,34.0,1685.26171875,8188.0,20.58209231497313
1787898050.5076702,21.2,55.6,17.660930633544922,34.0,1689.08203125,8188.0,20.62874977100635
1787898050.8169186,20.0,55.6,17.674694061279297,37.0,1689.08203125,8188.0,20.62874977100635
1787898051.1265447,19.9,55.6,17.659080505371094,32.0,1689.39453125,8188.0,20.632566331827064
1787898051.606169,30.9,55.6,17.67364501953125,45.0,1686.51953125,8188.0,20.5974539722765
1787898051.942881,20.8,55.6,17.669872283935547,45.0,1686.51953125,8188.0,20.5974539722765
