timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787995605.2766953,23.9,56.7,18.019657135009766,35.0,1718.984375,8188.0,20.99394693453835,2200.0,0.0,359.42578125,68
1787995605.5912037,51.4,59.0,18.757457733154297,38.0,1718.984375,8188.0,20.99394693453835,2200.0,548.1,1122.4921875,156
1787995605.9039786,54.5,59.0,18.760189056396484,38.0,1718.984375,8188.0,20.99394693453835,2200.0,371.8,1124.44921875,172
1787995606.2154574,55.9,59.0,18.758739471435547,34.0,1718.984375,8188.0,20.99394693453835,2200.0,378.8,1120.91796875,172
1787995606.5355778,57.9,57.2,18.169090270996094,34.0,1718.984375,8188.0,20.99394693453835,2200.0,405.0,510.45703125,172
1787995606.851956,48.4,58.5,18.588973999023438,38.0,1718.984375,8188.0,20.99394693453835,2200.0,530.1,945.48046875,172
1787995607.1641002,54.3,58.1,18.464794158935547,34.0,1718.984375,8188.0,20.99394693453835,2200.0,419.9,941.7265625,172
1787995607.4743857,60.3,58.0,18.435455322265625,34.0,1719.171875,8188.0,20.996236871030778,2200.0,372.0,941.16015625,172
1787995607.7891963,50.8,57.4,18.24936294555664,41.0,1719.171875,8188.0,20.996236871030778,2200.0,508.0,758.58984375,172
1787995608.1019073,48.1,57.4,18.250598907470703,32.0,1719.171875,8188.0,20.996236871030778,2200.0,442.8,754.90234375,172
1787995608.417966,46.8,57.4,18.252857208251953,32.0,1719.171875,8188.0,20.996236871030778,2200.0,435.7,753.77734375,172
1787995608.73007,52.3,56.5,17.941173553466797,38.0,1719.171875,8188.0,20.996236871030778,2200.0,439.8,430.86328125,172
1787995609.049087,55.9,58.0,18.435550689697266,38.0,1719.171875,8188.0,20.996236871030778,2200.0,466.8,942.9296875,172
1787995609.3639514,50.9,58.0,18.421676635742188,39.0,1719.171875,8188.0,20.996236871030778,1466.0,386.8,939.3828125,172
1787995609.6814182,50.6,58.0,18.4222412109375,39.0,1719.171875,8188.0,20.996236871030778,2200.0,417.3,939.00390625,172
1787995609.9986987,50.7,58.0,18.429000854492188,39.0,1719.171875,8188.0,20.996236871030778,2200.0,476.4,947.578125,172
1787995610.3126447,49.6,58.0,18.42304229736328,39.0,1719.171875,8188.0,20.996236871030778,2200.0,371.9,940.64453125,172
1787995610.6295652,51.9,58.0,18.423595428466797,33.0,1719.171875,8188.0,20.996236871030778,2200.0,411.2,940.38671875,172
1787995610.9497495,51.2,57.4,18.240211486816406,33.0,1719.171875,8188.0,20.996236871030778,2200.0,461.4,743.296875,172
1787995611.2634656,47.9,58.0,18.430641174316406,42.0,1719.171875,8188.0,20.996236871030778,2200.0,536.4,946.8203125,172
1787995611.5796747,52.8,58.0,18.426345825195312,42.0,1719.171875,8188.0,20.996236871030778,2200.0,427.3,943.05078125,172
1787995611.8903086,51.4,58.0,18.423992156982422,41.0,1719.171875,8188.0,20.996236871030778,2200.0,375.1,943.19140625,172
1787995612.205173,49.3,57.4,18.248088836669922,34.0,1719.171875,8188.0,20.996236871030778,2200.0,440.1,767.41015625,172
1787995612.5177517,50.9,58.0,18.426502227783203,34.0,1719.171875,8188.0,20.996236871030778,2200.0,505.7,939.37109375,172
1787995612.8317463,49.8,58.0,18.42568588256836,40.0,1719.171875,8188.0,20.996236871030778,2200.0,455.5,938.53515625,172
1787995613.1443768,52.2,58.0,18.425064086914062,58.0,1719.484375,8188.0,21.00005343185149,2200.0,390.1,938.08203125,172
1787995613.458674,51.1,58.0,18.42815399169922,58.0,1741.2734375,8188.0,21.266163135075722,2200.0,519.9,943.046875,172
1787995613.770825,56.0,58.1,18.449264526367188,7.0,1742.3984375,8188.0,21.27990275403029,2200.0,464.9,939.25390625,172
1787995614.0821185,51.2,58.1,18.46985626220703,7.0,1742.3984375,8188.0,21.27990275403029,2200.0,387.4,938.83203125,172
1787995614.4026697,50.6,56.7,18.023540496826172,7.0,1742.3984375,8188.0,21.27990275403029,2200.0,326.0,460.2109375,172
1787995614.7130084,52.1,58.1,18.468482971191406,7.0,1742.3984375,8188.0,21.27990275403029,2200.0,538.3,940.32421875,172
1787995615.02586,53.5,58.1,18.477306365966797,7.0,1742.3984375,8188.0,21.27990275403029,2200.0,426.5,939.21875,172
1787995615.3405428,55.3,58.2,18.486408233642578,7.0,1742.3984375,8188.0,21.27990275403029,2200.0,452.2,939.625,172
1787995615.6539204,47.5,57.4,18.25731658935547,7.0,1736.359375,8188.0,21.206147716170005,2200.0,547.7,760.109375,172
1787995615.96682,50.4,57.4,18.25409698486328,7.0,1736.359375,8188.0,21.206147716170005,1466.0,463.8,756.10546875,172
1787995616.2839692,53.0,57.4,18.258121490478516,7.0,1736.171875,8188.0,21.203857779677577,2200.0,406.4,756.125,172
