timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787996172.9400282,26.5,54.1,17.20684814453125,2.0,1854.96875,8188.0,22.654723375671715,2200.0,0.0,399.484375,184
1787996173.2618966,41.3,54.7,17.395397186279297,0.0,1855.59375,8188.0,22.66235649731314,2200.0,372.7,587.09375,184
1787996173.5835967,46.4,54.2,17.217121124267578,1.0,1857.40625,8188.0,22.684492550073276,1466.0,248.7,399.8203125,184
1787996173.90343,48.3,54.7,17.381263732910156,1.0,1857.40625,8188.0,22.684492550073276,1466.0,336.2,587.23046875,184
1787996174.2367268,54.5,54.4,17.275943756103516,4.0,1857.40625,8188.0,22.684492550073276,2200.0,346.5,465.35546875,184
1787996174.5567946,44.6,54.1,17.20734405517578,0.0,1857.40625,8188.0,22.684492550073276,2200.0,292.6,399.890625,184
1787996174.8778903,50.6,54.7,17.386493682861328,0.0,1857.65625,8188.0,22.68754579872985,1466.0,384.8,583.6953125,184
1787996175.2012534,55.2,54.2,17.21221923828125,9.0,1858.78125,8188.0,22.701285417684417,1466.0,286.5,399.96875,184
1787996175.524506,46.4,54.7,17.384811401367188,9.0,1856.21875,8188.0,22.669989618954567,2200.0,314.6,583.6953125,184
1787996175.8491497,47.6,54.2,17.211265563964844,3.0,1850.21875,8188.0,22.596711651196873,1466.0,373.8,400.0234375,184
1787996176.1712396,49.5,54.6,17.36767578125,0.0,1850.21875,8188.0,22.596711651196873,1466.0,386.8,583.8046875,184
1787996176.49338,50.1,54.7,17.383460998535156,0.0,1847.53125,8188.0,22.56388922813874,2200.0,326.0,577.54296875,184
1787996176.8152514,49.7,54.2,17.210338592529297,2.0,1844.40625,8188.0,22.525723619931608,1466.0,349.5,400.078125,184
1787996177.13637,46.3,54.7,17.374286651611328,5.0,1838.03125,8188.0,22.44786577918906,1466.0,369.3,587.54296875,184
1787996177.461254,47.4,54.1,17.20626449584961,5.0,1828.59375,8188.0,22.332605642403518,2200.0,283.1,400.1328125,184
1787996177.7869816,52.1,54.7,17.37759780883789,13.0,1815.28125,8188.0,22.170020151441133,2200.0,283.8,583.859375,184
1787996178.1100028,47.2,54.1,17.202407836914062,0.0,1815.28125,8188.0,22.170020151441133,1466.0,362.5,396.40234375,184
1787996178.4312584,51.0,54.6,17.368377685546875,0.0,1816.46875,8188.0,22.184523082559842,2200.0,375.2,583.8046875,184
1787996178.7547555,50.3,54.1,17.203079223632812,6.0,1816.46875,8188.0,22.184523082559842,1466.0,280.6,400.078125,184
1787996179.1150837,48.1,54.7,17.37065887451172,5.0,1816.59375,8188.0,22.186049706888127,1466.0,350.5,583.75,184
1787996179.4364266,52.2,54.7,17.383758544921875,5.0,1816.59375,8188.0,22.186049706888127,1466.0,301.0,583.75,184
1787996179.7602675,49.0,54.2,17.21279525756836,0.0,1815.71875,8188.0,22.17536333659013,1466.0,332.6,400.0234375,184
1787996180.0810106,53.6,54.7,17.379291534423828,0.0,1815.90625,8188.0,22.17765327308256,1466.0,293.4,583.75,184
1787996180.4072573,51.8,54.2,17.21414566040039,0.0,1816.09375,8188.0,22.179943209574986,2200.0,311.7,400.03125,184
1787996180.7303252,48.7,54.7,17.38109588623047,0.0,1816.21875,8188.0,22.18146983390327,2200.0,357.2,587.43359375,184
1787996181.0556862,45.5,54.2,17.213329315185547,0.0,1816.21875,8188.0,22.18146983390327,1466.0,325.6,400.078125,184
1787996181.381835,51.2,54.7,17.376319885253906,0.0,1816.21875,8188.0,22.18146983390327,2200.0,308.3,583.8046875,184
1787996181.708986,50.3,54.6,17.361099243164062,0.0,1857.21875,8188.0,22.68220261358085,2200.0,368.9,533.54296875,184
1787996182.0330248,55.7,54.2,17.227428436279297,0.0,1856.59375,8188.0,22.674569491939423,2200.0,319.8,400.078125,184
1787996182.3578415,44.3,54.8,17.403396606445312,10.0,1858.28125,8188.0,22.695178920371276,2200.0,404.7,583.8046875,184
1787996182.6796095,49.0,54.2,17.22768783569336,6.0,1857.96875,8188.0,22.691362359550563,2200.0,369.5,400.078125,184
1787996182.999221,52.0,54.8,17.40594482421875,6.0,1857.96875,8188.0,22.691362359550563,2200.0,346.1,583.75,184
1787996183.3203459,48.2,54.2,17.238117218017578,6.0,1858.40625,8188.0,22.69670554469956,2200.0,287.3,403.70703125,184
1787996183.6407604,56.7,54.8,17.40753936767578,6.0,1858.40625,8188.0,22.69670554469956,2200.0,326.9,583.6953125,184
1787996183.973451,51.5,54.3,17.261760711669922,6.0,1860.96875,8188.0,22.72800134342941,2200.0,315.0,411.6953125,184
1787996184.3076224,46.0,54.2,17.235687255859375,6.0,1860.96875,8188.0,22.72800134342941,2200.0,286.3,396.23046875,184
1787996184.6302865,50.8,54.8,17.413501739501953,6.0,1860.96875,8188.0,22.72800134342941,2200.0,376.9,579.95703125,184
1787996184.9501224,49.5,54.2,17.237735748291016,6.0,1859.15625,8188.0,22.705865290669273,2200.0,316.2,396.28515625,184
1787996185.2705314,57.0,54.9,17.43441390991211,6.0,1855.59375,8188.0,22.66235649731314,2200.0,377.4,583.75,184
1787996185.597806,53.3,54.3,17.258331298828125,6.0,1855.59375,8188.0,22.66235649731314,2200.0,278.4,400.078125,184
1787996185.9247465,48.9,54.8,17.423019409179688,6.0,1855.59375,8188.0,22.66235649731314,2200.0,319.4,583.8046875,184
1787996186.2455964,56.1,54.3,17.253997802734375,24.0,1853.40625,8188.0,22.63564057156815,2200.0,282.2,400.078125,184
1787996186.5709414,53.9,54.8,17.410045623779297,27.0,1853.40625,8188.0,22.63564057156815,2200.0,326.5,583.8046875,184
1787996186.8922772,53.4,54.8,17.421062469482422,27.0,1841.40625,8188.0,22.48908463605276,2200.0,292.3,587.67578125,184
1787996187.2168627,54.3,54.3,17.248306274414062,25.0,1841.40625,8188.0,22.48908463605276,2200.0,379.9,404.01171875,184
1787996187.5371113,49.9,54.8,17.426563262939453,25.0,1841.40625,8188.0,22.48908463605276,2200.0,410.1,587.43359375,184
1787996187.8577642,56.3,54.3,17.2470703125,25.0,1841.40625,8188.0,22.48908463605276,2200.0,316.8,399.96875,184
