timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787921290.4429576,32.8,64.7,20.561817169189453,40.0,3047.9765625,8188.0,37.22492137884709,2200.0,36.6,96.46875,199
1787921290.761743,42.1,65.2,20.729751586914062,42.0,3047.9765625,8188.0,37.22492137884709,2200.0,371.7,280.1953125,199
1787921291.0843537,52.0,64.7,20.550796508789062,42.0,3047.9765625,8188.0,37.22492137884709,2200.0,297.3,99.91796875,199
1787921297.773875,21.1,64.7,20.560604095458984,43.0,3047.9765625,8188.0,37.22492137884709,2200.0,18.9,99.91796875,199
1787921298.1270976,29.3,68.5,21.77164077758789,43.0,3047.9765625,8188.0,37.22492137884709,2200.0,628.2,1373.5390625,231
1787921298.4510016,51.6,68.6,21.807689666748047,40.0,3047.9765625,8188.0,37.22492137884709,2200.0,361.9,1400.74609375,231
1787921298.7789602,50.1,68.6,21.805938720703125,39.0,3047.9765625,8188.0,37.22492137884709,1466.0,343.2,1396.1796875,231
1787921299.1008823,44.6,68.6,21.80184555053711,39.0,3047.9765625,8188.0,37.22492137884709,2200.0,422.0,1389.02734375,231
1787921299.4256792,52.0,68.6,21.801227569580078,40.0,3047.9765625,8188.0,37.22492137884709,2200.0,443.0,1388.8359375,231
1787921299.7418194,43.2,68.6,21.795082092285156,43.0,3047.9765625,8188.0,37.22492137884709,2200.0,425.0,1384.94140625,231
1787921300.068255,47.5,68.6,21.795345306396484,43.0,3047.9765625,8188.0,37.22492137884709,1466.0,442.0,1384.890625,231
1787921301.0658865,33.2,68.6,21.80077362060547,39.0,3047.9765625,8188.0,37.22492137884709,2200.0,144.9,1384.0390625,231
1787921306.6138332,17.7,68.4,21.7498779296875,41.0,3047.9765625,8188.0,37.22492137884709,2200.0,0.0,1384.0390625,231
1787921306.935938,48.1,66.2,21.03565216064453,39.0,3047.9765625,8188.0,37.22492137884709,1466.0,561.8,641.875,231
1787921307.2552252,53.7,65.7,20.867095947265625,39.0,3047.9765625,8188.0,37.22492137884709,1466.0,371.2,476.5,231
1787921307.5752957,52.9,65.6,20.85586166381836,39.0,3047.9765625,8188.0,37.22492137884709,2200.0,355.9,473.14453125,231
1787921307.8938434,48.8,65.6,20.852245330810547,42.0,3047.9765625,8188.0,37.22492137884709,2200.0,358.9,468.140625,231
1787921308.21421,56.8,65.6,20.858158111572266,43.0,3047.9765625,8188.0,37.22492137884709,1466.0,356.9,467.12109375,231
1787921308.5335245,52.3,65.6,20.850337982177734,43.0,3047.9765625,8188.0,37.22492137884709,1466.0,356.7,466.62890625,231
1787921308.855006,47.0,65.6,20.854103088378906,39.0,3047.9765625,8188.0,37.22492137884709,1466.0,370.2,466.46875,231
1787921309.7365801,35.2,65.6,20.847919464111328,39.0,3047.9765625,8188.0,37.22492137884709,2200.0,134.1,465.82421875,231
1787921314.9140294,19.7,65.6,20.844444274902344,42.0,3047.9765625,8188.0,37.22492137884709,2200.0,0.0,465.82421875,231
1787921315.2338283,39.8,69.0,21.939682006835938,40.0,3047.9765625,8188.0,37.22492137884709,2200.0,665.9,1584.890625,231
1787921315.5529795,48.0,68.5,21.76055908203125,40.0,3047.9765625,8188.0,37.22492137884709,1466.0,391.0,1391.109375,231
1787921315.8721015,48.4,68.5,21.758403778076172,38.0,3047.9765625,8188.0,37.22492137884709,2200.0,381.2,1387.4375,231
1787921316.1954203,48.3,68.5,21.76612091064453,41.0,3047.9765625,8188.0,37.22492137884709,1466.0,401.6,1387.125,231
1787921316.5223145,52.4,68.5,21.76629638671875,41.0,3047.9765625,8188.0,37.22492137884709,2200.0,396.6,1385.953125,231
1787921316.8441517,45.8,68.5,21.76358413696289,44.0,3047.9765625,8188.0,37.22492137884709,2200.0,401.0,1385.34765625,231
1787921317.1626153,50.5,68.5,21.762039184570312,42.0,3047.9765625,8188.0,37.22492137884709,1466.0,384.3,1384.72265625,231
