timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787928089.7144532,11.6,57.0,18.11113739013672,0.0,2022.109375,8188.0,24.69601093063019,1466.0,0.0,682.3515625,231
1787928090.0292232,44.8,56.4,17.938289642333984,0.0,2022.109375,8188.0,24.69601093063019,1466.0,417.7,502.36328125,231
1787928090.3440228,46.9,57.0,18.11310577392578,0.0,2022.109375,8188.0,24.69601093063019,2200.0,352.9,682.48046875,231
1787928090.660063,45.3,57.0,18.11148452758789,0.0,2022.109375,8188.0,24.69601093063019,2200.0,326.3,682.48046875,231
1787928091.0236044,40.6,57.0,18.112621307373047,0.0,2022.109375,8188.0,24.69601093063019,2200.0,135.9,682.48046875,231
1787928091.3468544,41.9,56.4,17.93805694580078,0.0,2022.109375,8188.0,24.69601093063019,1466.0,268.2,502.49609375,231
1787928092.1477783,34.0,56.4,17.936832427978516,0.0,2022.109375,8188.0,24.69601093063019,1466.0,118.9,502.5,231
1787928092.4701917,40.3,57.0,18.107948303222656,0.0,2022.109375,8188.0,24.69601093063019,1466.0,351.4,682.46484375,231
1787928093.259712,34.5,57.0,18.108890533447266,0.0,2022.109375,8188.0,24.69601093063019,1466.0,122.2,682.46484375,231
1787928093.5842144,39.4,56.4,17.937747955322266,0.0,2022.109375,8188.0,24.69601093063019,1466.0,287.4,502.4765625,231
1787928094.3895905,34.1,56.4,17.931865692138672,0.0,2022.109375,8188.0,24.69601093063019,2200.0,102.5,502.4765625,231
1787928094.7107656,46.5,57.0,18.10628890991211,0.0,2022.109375,8188.0,24.69601093063019,2200.0,347.6,686.203125,231
1787928095.4750881,30.3,57.0,18.110092163085938,0.0,2022.109375,8188.0,24.69601093063019,2200.0,95.9,686.203125,231
1787928095.796014,40.1,56.4,17.936473846435547,0.0,2022.109375,8188.0,24.69601093063019,1466.0,298.2,502.4765625,231
1787928096.605644,34.5,56.4,17.92641830444336,0.0,2022.109375,8188.0,24.69601093063019,1466.0,134.6,498.73828125,231
1787928096.9310594,37.4,57.0,18.10247802734375,0.0,2022.109375,8188.0,24.69601093063019,1466.0,368.5,682.41015625,231
1787928097.7259967,31.9,57.0,18.10000228881836,0.0,2022.109375,8188.0,24.69601093063019,1466.0,129.3,682.41015625,231
1787928098.0639958,43.1,56.4,17.936077117919922,0.0,2022.109375,8188.0,24.69601093063019,1466.0,337.3,502.421875,231
1787928098.8655832,34.4,56.4,17.912124633789062,0.0,2022.109375,8188.0,24.69601093063019,1466.0,122.0,502.421875,231
1787928099.1851714,38.9,56.9,18.097877502441406,0.0,2022.109375,8188.0,24.69601093063019,2200.0,324.6,682.41015625,231
