timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787926583.328377,10.7,58.0,18.445194244384766,19.0,2019.31640625,8188.0,24.661900418295065,2200.0,0.0,60.4609375,49
1787926583.6497555,6.6,58.1,18.44951629638672,4.0,2019.31640625,8188.0,24.661900418295065,2200.0,0.0,60.53515625,49
1787926583.9716642,9.0,58.1,18.449939727783203,4.0,2019.31640625,8188.0,24.661900418295065,2200.0,0.0,60.53515625,49
1787926584.283798,11.0,58.1,18.44977569580078,7.0,2019.37890625,8188.0,24.662663730459208,2200.0,0.0,60.53515625,49
1787926584.5940993,9.2,58.1,18.451271057128906,9.0,2019.37890625,8188.0,24.662663730459208,2200.0,0.0,60.53515625,49
1787926584.922776,12.8,58.1,18.46902084350586,9.0,2015.00390625,8188.0,24.609231878969222,2200.0,9.8,60.53515625,49
1787926585.250442,11.4,58.1,18.469432830810547,6.0,2005.81640625,8188.0,24.497024990840256,2200.0,4.7,60.60546875,49
1787926585.5687072,15.6,58.1,18.47632598876953,12.0,2009.25390625,8188.0,24.5390071598681,2200.0,14.4,60.60546875,49
1787926585.8993073,7.1,58.2,18.481666564941406,12.0,2009.25390625,8188.0,24.5390071598681,2200.0,0.0,60.60546875,49
1787926586.2188694,17.2,58.2,18.48244857788086,18.0,2009.25390625,8188.0,24.5390071598681,2200.0,14.1,60.60546875,49
1787926586.5468452,10.3,58.2,18.481582641601562,15.0,2009.25390625,8188.0,24.5390071598681,2200.0,4.8,60.60546875,49
1787926587.5630777,14.1,58.2,18.491546630859375,9.0,2009.87890625,8188.0,24.546640281509525,2200.0,3.0,60.66796875,49
1787926587.8872192,9.0,58.2,18.490386962890625,9.0,2009.87890625,8188.0,24.546640281509525,2200.0,4.9,60.67578125,49
1787926588.2226946,14.0,58.2,18.489765167236328,7.0,2009.87890625,8188.0,24.546640281509525,2200.0,4.7,60.67578125,49
1787926588.5535867,4.0,58.2,18.490497589111328,3.0,1985.06640625,8188.0,24.243605352344893,1466.0,0.0,60.67578125,49
1787926588.874562,4.7,58.2,18.490612030029297,3.0,1960.94140625,8188.0,23.948966856985834,2200.0,0.0,60.67578125,49
