condition,cv,policy,n_prefill,service_scale,transfer_scale,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share
A,1,affine,1,1.0,1.4,2,5000,5000,0.1576545734273509,1.093459391218943,1.4871354519479447,0.8855720927006768,0.7474394816203066,1.0,3.038526856973073,0.648
A,1,affine,1,1.0,1.4,3,5000,5000,0.15748323805235032,1.0701817321265967,1.3659000745211598,0.8793361131016288,0.7419761853279708,1.0,3.0287309040653643,0.6516
A,1,affine,1,1.0,1.4,4,5000,5000,0.15707232691596573,1.0766665236647561,1.4200399213694483,0.8762828945311767,0.7398002062453173,1.0,3.0266490070587078,0.6408
A,1,affine,1,1.0,1.4,5,5000,5000,0.16041338552840045,1.0949133811012985,1.518942479902726,0.8831311814621399,0.7530807531458037,1.0,3.07016459852269,0.644
A,1,affine,1,2.0,0.7,1,5000,5000,0.8698853188793976,3.6608369379779147,5.435213821050822,0.953106031486835,0.9256808631356956,0.9632,3.016012082964095,0.5086
A,1,affine,1,2.0,0.7,2,5000,5000,1.0148508296675232,4.69347169769568,7.280121178021972,0.9706733933218871,0.94206016792763,0.9198,3.038623161478537,0.514
A,1,affine,1,2.0,0.7,3,5000,5000,0.990646601248244,4.360646392622776,6.809255526226995,0.9667098148733757,0.9372505847154551,0.9348,3.0287309040653643,0.5068
A,1,affine,1,2.0,0.7,4,5000,5000,0.9318861880854001,4.0753438412066885,6.119765177633148,0.9630099926745628,0.9363791098086122,0.9464,3.0266490070587078,0.5266
A,1,affine,1,2.0,0.7,5,5000,5000,1.0375472801483738,5.219382292709296,7.755518952489506,0.972406176288092,0.9421953249129816,0.9194,3.07016459852269,0.5274
A,1,affine,1,2.0,1.0,1,5000,5000,0.8720736251953554,3.6634874142818696,5.437238395397388,0.9524703313586191,0.9245514672626072,0.9632,3.016012082964095,0.5086
A,1,affine,1,2.0,1.0,2,5000,5000,1.0167993110820248,4.69649894882001,7.282406810423027,0.9699843598705221,0.9410074810674386,0.9194,3.038623161478537,0.514
A,1,affine,1,2.0,1.0,3,5000,5000,0.9927656567768963,4.363127197991963,6.810940898334786,0.9660683770558496,0.936759633264232,0.9348,3.0287309040653643,0.5068
A,1,affine,1,2.0,1.0,4,5000,5000,0.933982005289181,4.076686471855163,6.122517885931905,0.9624742907871916,0.9352790213955556,0.9464,3.0266490070587078,0.5266
A,1,affine,1,2.0,1.0,5,5000,5000,1.0392694576287909,5.221925812295727,7.757562061514279,0.9716465138716511,0.941646303772347,0.9194,3.07016459852269,0.5274
A,1,affine,1,2.0,1.4,1,5000,5000,0.875105782892831,3.667021382687074,5.439937827859477,0.9516608404023592,0.9234839257742871,0.9632,3.016012082964095,0.5086
A,1,affine,1,2.0,1.4,2,5000,5000,1.0202587252700823,4.700149260183648,7.285454320291128,0.9696562223042694,0.9402173524019657,0.9194,3.038623161478537,0.514
A,1,affine,1,2.0,1.4,3,5000,5000,0.9956217718607263,4.366434938484214,6.813188061145285,0.9657079720422391,0.9360218218637624,0.9348,3.0287309040653643,0.5068
A,1,affine,1,2.0,1.4,4,5000,5000,0.9384148522937608,4.078476646053059,6.126188163663655,0.9619577381381484,0.9337785172953659,0.946,3.0266490070587078,0.5266
A,1,affine,1,2.0,1.4,5,5000,5000,1.0426044480709606,5.225317171744321,7.7602862068807195,0.970877037631166,0.9407661878526165,0.9192,3.07016459852269,0.5274
B,3,affine,1,0.5,0.7,1,5000,5000,0.15149538430482323,0.8622360528069066,1.2921789291626709,0.9519522738010284,0.9147634304910968,1.0,2.842384040532689,0.554
B,3,affine,1,0.5,0.7,2,5000,5000,0.1531635462106003,0.8192763117713583,1.2422325240759131,0.9450623729104676,0.9021084476293773,1.0,2.7014289916371568,0.556
B,3,affine,1,0.5,0.7,3,5000,5000,0.15860802720897027,0.8766800656138916,1.2800988062330596,0.9455464667878443,0.9118555226325438,1.0,2.95502668724253,0.5126
B,3,affine,1,0.5,0.7,4,5000,5000,0.14473250762648604,0.72128060696773,1.1323540551615998,0.9359469959775583,0.8889332700013488,1.0,2.814400288006337,0.5092
B,3,affine,1,0.5,0.7,5,5000,5000,0.1618012529484929,0.860322102578516,1.2628679825178397,0.9493033004235595,0.9101153262917498,1.0,3.051612132413898,0.5516
B,3,affine,1,0.5,1.0,1,5000,5000,0.15443594977233488,0.8643038645438139,1.2953229137107465,0.9504176487264846,0.9108823033033769,1.0,2.842384040532689,0.554
B,3,affine,1,0.5,1.0,2,5000,5000,0.1564056239081708,0.8216885753623018,1.243948477465355,0.9420959717035922,0.8983501730857172,1.0,2.7014289916371568,0.556
B,3,affine,1,0.5,1.0,3,5000,5000,0.16121097150642072,0.8798061789020708,1.2815455859293408,0.9434414410045395,0.9079624908397453,1.0,2.95502668724253,0.5126
B,3,affine,1,0.5,1.0,4,5000,5000,0.14667458736531103,0.7221480546554555,1.1342173849213362,0.9333619746261609,0.8852687085230041,1.0,2.814400288006337,0.5092
B,3,affine,1,0.5,1.0,5,5000,5000,0.16446920403180343,0.8623299103302784,1.2659426791641035,0.9460633370804776,0.9062089380269976,1.0,3.051612132413898,0.5516
B,3,affine,1,0.5,1.4,1,5000,5000,0.1575072794930179,0.8671267690262425,1.299514893108068,0.9468899415104771,0.9073507364581499,1.0,2.842384040532689,0.554
B,3,affine,1,0.5,1.4,2,5000,5000,0.1599698486751322,0.8240965203210978,1.2490718836276753,0.9386261658135421,0.893417252735473,1.0,2.7014289916371568,0.556
B,3,affine,1,0.5,1.4,3,5000,5000,0.16460560135361302,0.8840775102165823,1.2834746255243825,0.9404505896548729,0.902936417064186,1.0,2.95502668724253,0.5126
B,3,affine,1,0.5,1.4,4,5000,5000,0.1497741638837624,0.7232804441191323,1.137283857541633,0.9291375371437047,0.8797733121337991,1.0,2.814400288006337,0.5092
B,3,affine,1,0.5,1.4,5,5000,5000,0.16729573903614892,0.8644916763355525,1.2674154209988144,0.942484203471845,0.9020533491488456,1.0,3.051612132413898,0.5516
B,3,affine,1,1.0,0.7,1,5000,5000,0.5001774615566301,2.4718982174306783,3.6121956892313865,0.9697019050597636,0.9448863230433092,0.9966,2.842384040532689,0.5156
B,3,affine,1,1.0,0.7,2,5000,5000,0.4863683219680297,2.4129514989494685,3.5004819799666844,0.9668959519212256,0.9412491080480008,0.9956,2.7014289916371568,0.52
B,3,affine,1,1.0,0.7,3,5000,5000,0.5640415930135418,2.53947253852449,3.5643449204378808,0.9700093798257541,0.9460069336390288,0.9938,2.9563017584221014,0.5052
B,3,affine,1,1.0,0.7,4,5000,5000,0.4580890250651066,2.195844075559403,3.3714413682347137,0.9634743209174162,0.9359701583611726,0.9956,2.816476907450663,0.5092
B,3,affine,1,1.0,0.7,5,5000,5000,0.6093960026593663,2.6649627324510567,3.7737759486666813,0.9728883024838733,0.9525229918532925,0.9936,3.051612132413898,0.5996
B,3,affine,1,1.0,1.0,1,5000,5000,0.5020796995551109,2.4750035318287176,3.616897490466513,0.9691103732962035,0.9439248300655172,0.9966,2.842384040532689,0.5156
B,3,affine,1,1.0,1.0,2,5000,5000,0.4879153290006002,2.4175203545889987,3.501750136052587,0.9664590300426138,0.9396857823515825,0.9956,2.7014289916371568,0.52
B,3,affine,1,1.0,1.0,3,5000,5000,0.5666559844186168,2.5427552513358025,3.566015164636159,0.9688552858401643,0.9451001008928851,0.9938,2.9563017584221014,0.5052
B,3,affine,1,1.0,1.0,4,5000,5000,0.46013318445551477,2.197870799740132,3.374152546646676,0.962414855220112,0.9337772693312857,0.9956,2.816476907450663,0.5092
B,3,affine,1,1.0,1.0,5,5000,5000,0.6120403265186383,2.667523211683653,3.776690474953436,0.9722248831877344,0.951411305406163,0.9936,3.051612132413898,0.5996
B,3,affine,1,1.0,1.4,1,5000,5000,0.5049809608480302,2.4791258780328342,3.6231665587797903,0.9684712691119014,0.9418071033585076,0.9966,2.842384040532689,0.5156
B,3,affine,1,1.0,1.4,2,5000,5000,0.4903637319322911,2.4236121621085207,3.503441010833565,0.9652607803637943,0.9375242192096161,0.9956,2.7014289916371568,0.52
B,3,affine,1,1.0,1.4,3,5000,5000,0.5698936458525168,2.5451017240307126,3.5682421569006046,0.9672866984917918,0.9437837247550034,0.9938,2.9563017584221014,0.5052
B,3,affine,1,1.0,1.4,4,5000,5000,0.4633006258737069,2.200290803390145,3.377767451195995,0.9616060030499999,0.9322150855217312,0.9956,2.816476907450663,0.5092
