f,rho,prefill_scale,class,quantile,prompt_len,kv_bytes,t_prefill,t_transfer_25,t_transfer_nv,queue_mean_wait,queue_p95,ttft_25,ttft_nv,transfer_frac_25,transfer_frac_nv,gap_pct
0.2,0.3,0.5,long_only,p50,8770.0,1149501440.0,0.44974358974358974,1.839202304,0.0019158357333333334,0.09637362637362638,0.26502747252747255,2.5539733662710624,0.7166868980043957,0.7201337054995737,0.0026731836994201377,256.3583167743912
0.2,0.3,0.5,long_only,p95,12399.449999999999,1625220710.3999999,0.6358692307692306,2.60035313664,0.0027087011839999997,0.13625769230769227,0.37470865384615376,3.610931021255384,1.0132865857993842,0.7201337054995738,0.0026731836994201385,256.3583167743913
0.2,0.3,0.5,mixed,p50,1242.0,162791424.0,0.06369230769230769,0.2604662784,0.00027131904,0.013648351648351646,0.037532967032967025,0.3616915531252747,0.1014965937652747,0.7201337054995737,0.0026731836994201385,256.3583167743913
0.2,0.3,0.5,mixed,p95,10704.900000000003,1403112652.8000004,0.548969230769231,2.2449802444800007,0.0023385210880000006,0.11763626373626378,0.32349972527472537,3.117449200523957,0.8748074771319564,0.7201337054995737,0.0026731836994201377,256.35831677439126
0.2,0.3,1.0,long_only,p50,8770.0,1149501440.0,0.8994871794871795,1.839202304,0.0019158357333333334,0.19274725274725277,0.5300549450549451,3.2687444285421248,1.431457960275458,0.5626632317719292,0.0013383807184701852,128.35071090129077
0.2,0.3,1.0,long_only,p95,12399.449999999999,1625220710.3999999,1.2717384615384613,2.60035313664,0.0027087011839999997,0.27251538461538455,0.7494173076923075,4.621508905870769,2.0238644704147686,0.5626632317719293,0.0013383807184701856,128.35071090129085
0.2,0.3,1.0,mixed,p50,1242.0,162791424.0,0.12738461538461537,0.2604662784,0.00027131904,0.027296703296703292,0.07506593406593405,0.4629168278505494,0.2027218684905494,0.5626632317719293,0.0013383807184701856,128.3507109012908
0.2,0.3,1.0,mixed,p95,10704.900000000003,1403112652.8000004,1.097938461538462,2.2449802444800007,0.0023385210880000006,0.23527252747252755,0.6469994505494507,3.9899181565679136,1.7472764331759127,0.5626632317719292,0.0013383807184701852,128.35071090129077
0.2,0.3,2.0,long_only,p50,8770.0,1149501440.0,1.798974358974359,1.839202304,0.0019158357333333334,0.38549450549450553,1.0601098901098902,4.69828655308425,2.861000084817583,0.39146235190627793,0.0006696384748466328,64.2183297377921
0.2,0.3,2.0,long_only,p95,12399.449999999999,1625220710.3999999,2.5434769230769225,2.60035313664,0.0027087011839999997,0.5450307692307691,1.498834615384615,6.642664675101537,4.045020239645537,0.39146235190627804,0.000669638474846633,64.21832973779212
0.2,0.3,2.0,mixed,p50,1242.0,162791424.0,0.25476923076923075,0.2604662784,0.00027131904,0.054593406593406585,0.1501318681318681,0.6653673773010989,0.4051724179410988,0.39146235190627793,0.0006696384748466331,64.21832973779212
0.2,0.3,2.0,mixed,p95,10704.900000000003,1403112652.8000004,2.195876923076924,2.2449802444800007,0.0023385210880000006,0.4705450549450551,1.2939989010989015,5.7348560686558265,3.4922143452638252,0.39146235190627793,0.0006696384748466329,64.21832973779212
0.2,0.5,0.5,long_only,p50,8770.0,1149501440.0,0.44974358974358974,1.839202304,0.0019158357333333334,0.22487179487179487,0.6183974358974359,2.9073433296410256,1.0700568613743588,0.6326058175685393,0.0017904055405734921,171.6998913409979
0.2,0.5,0.5,long_only,p95,12399.449999999999,1625220710.3999999,0.6358692307692306,2.60035313664,0.0027087011839999997,0.3179346153846153,0.8743201923076921,4.110542559716922,1.5128981242609227,0.6326058175685393,0.0017904055405734921,171.69989134099788
0.2,0.5,0.5,mixed,p50,1242.0,162791424.0,0.06369230769230769,0.2604662784,0.00027131904,0.031846153846153843,0.08757692307692307,0.41173550916923074,0.15154054980923076,0.6326058175685392,0.0017904055405734921,171.69989134099788
0.2,0.5,0.5,mixed,p95,10704.900000000003,1403112652.8000004,0.548969230769231,2.2449802444800007,0.0023385210880000006,0.2744846153846155,0.7548326923076926,3.548782167556924,1.3061404441649236,0.6326058175685392,0.0017904055405734917,171.69989134099782
0.2,0.5,1.0,long_only,p50,8770.0,1149501440.0,0.8994871794871795,1.839202304,0.0019158357333333334,0.44974358974358974,1.2367948717948718,3.975484355282051,2.1381978870153846,0.4626360311433078,0.0008960048763342308,85.92686764045273
0.2,0.5,1.0,long_only,p95,12399.449999999999,1625220710.3999999,1.2717384615384613,2.60035313664,0.0027087011839999997,0.6358692307692306,1.7486403846153842,5.620731982793846,3.0230875473378456,0.4626360311433078,0.0008960048763342309,85.92686764045276
0.2,0.5,1.0,mixed,p50,1242.0,162791424.0,0.12738461538461537,0.2604662784,0.00027131904,0.06369230769230769,0.17515384615384613,0.5630047399384615,0.30280978057846153,0.4626360311433078,0.0008960048763342309,85.92686764045271
0.2,0.5,1.0,mixed,p95,10704.900000000003,1403112652.8000004,1.097938461538462,2.2449802444800007,0.0023385210880000006,0.548969230769231,1.5096653846153851,4.852584090633847,2.609942367241847,0.4626360311433078,0.0008960048763342308,85.92686764045273
0.2,0.5,2.0,long_only,p50,8770.0,1149501440.0,1.798974358974359,1.839202304,0.0019158357333333334,0.8994871794871795,2.4735897435897436,6.111766406564103,4.274479938297436,0.3009281084474493,0.0004482032343088802,42.982690170221616
0.2,0.5,2.0,long_only,p95,12399.449999999999,1625220710.3999999,2.5434769230769225,2.60035313664,0.0027087011839999997,1.2717384615384613,3.4972807692307684,8.641110828947692,6.043466393491691,0.3009281084474493,0.0004482032343088802,42.98269017022163
0.2,0.5,2.0,mixed,p50,1242.0,162791424.0,0.25476923076923075,0.2604662784,0.00027131904,0.12738461538461537,0.35030769230769226,0.8655432014769231,0.6053482421169231,0.3009281084474493,0.0004482032343088802,42.982690170221616
0.2,0.5,2.0,mixed,p95,10704.900000000003,1403112652.8000004,2.195876923076924,2.2449802444800007,0.0023385210880000006,1.097938461538462,3.0193307692307703,7.460187936787695,5.2175462133956945,0.3009281084474493,0.0004482032343088801,42.9826901702216
0.2,0.7,0.5,long_only,p50,8770.0,1149501440.0,0.44974358974358974,1.839202304,0.0019158357333333334,0.5247008547008546,1.44292735042735,3.7318732441709397,1.8945867759042732,0.4928362202207088,0.0010112156158267906,96.97557755778922
0.2,0.7,0.5,long_only,p95,12399.449999999999,1625220710.3999999,0.6358692307692306,2.60035313664,0.0027087011839999997,0.7418474358974355,2.040080448717948,5.2763028161271786,2.6786583806711786,0.4928362202207087,0.0010112156158267906,96.97557755778924
0.2,0.7,0.5,mixed,p50,1242.0,162791424.0,0.06369230769230769,0.2604662784,0.00027131904,0.07430769230769228,0.2043461538461538,0.5285047399384615,0.26830978057846144,0.49283622022070867,0.0010112156158267908,96.97557755778925
0.2,0.7,0.5,mixed,p95,10704.900000000003,1403112652.8000004,0.548969230769231,2.2449802444800007,0.0023385210880000006,0.6404641025641027,1.7612762820512824,4.555225757300514,2.312584033908513,0.4928362202207087,0.0010112156158267906,96.97557755778922
0.2,0.7,1.0,long_only,p50,8770.0,1149501440.0,0.8994871794871795,1.839202304,0.0019158357333333334,1.0494017094017092,2.8858547008547,5.62454418434188,3.787257716075213,0.3269957962318332,0.0005058635764874063,48.51231698514226
0.2,0.7,1.0,long_only,p95,12399.449999999999,1625220710.3999999,1.2717384615384613,2.60035313664,0.0027087011839999997,1.483694871794871,4.080160897435896,7.952252495614357,5.354608060158357,0.3269957962318333,0.0005058635764874064,48.51231698514227
0.2,0.7,1.0,mixed,p50,1242.0,162791424.0,0.12738461538461537,0.2604662784,0.00027131904,0.14861538461538457,0.4086923076923076,0.7965432014769229,0.5363482421169229,0.3269957962318332,0.0005058635764874065,48.512316985142284
0.2,0.7,1.0,mixed,p95,10704.900000000003,1403112652.8000004,1.097938461538462,2.2449802444800007,0.0023385210880000006,1.2809282051282054,3.522552564102565,6.865471270121027,4.622829546729027,0.3269957962318332,0.0005058635764874063,48.512316985142256
0.2,0.7,2.0,long_only,p50,8770.0,1149501440.0,1.798974358974359,1.839202304,0.0019158357333333334,2.0988034188034184,5.7717094017094,9.409886064683759,7.572599596417093,0.1954542585699002,0.0002529957789184831,24.262295198282523
0.2,0.7,2.0,long_only,p95,12399.449999999999,1625220710.3999999,2.5434769230769225,2.60035313664,0.0027087011839999997,2.967389743589742,8.160321794871791,13.304151854588714,10.706507419132715,0.1954542585699002,0.00025299577891848315,24.262295198282526
