cv,service_scale,seed,n_completed,n_arrivals,ttft_p50,ttft_p95,ttft_p99,qfrac_p99,qfrac_p95,attainment_p95_slo,throughput,max_pair_share
1.0,0.5,1,5000,5000,0.08371794871794691,0.6037403846153858,0.8000512820512381,1.0,1.0,1.0,3.0136061637216676,0.5
1.0,0.5,2,5000,5000,0.08403846153851191,0.6191164981733522,0.8333333333332575,1.0,1.0,1.0,3.038526856973073,0.5
1.0,0.5,3,5000,5000,0.08391025641026317,0.6050032051282245,0.8072417200553402,1.0,1.0,1.0,3.0287309040653643,0.5
1.0,0.5,4,5000,5000,0.08416666666671802,0.6103910256410586,0.8301288461538172,1.0,1.0,1.0,3.0266490070587078,0.5
1.0,0.5,5,5000,5000,0.08448717948716733,0.6145048215399076,0.816943312111412,1.0,1.0,1.0,3.07016459852269,0.5
1.0,1.0,1,5000,5000,0.20604352970966033,1.4018026886778672,2.020088286335942,1.0,1.0,1.0,3.0136061637216676,0.5
1.0,1.0,2,5000,5000,0.21051282051283238,1.4821691519963145,2.269708038369178,1.0,1.0,0.999,3.038526856973073,0.5
1.0,1.0,3,5000,5000,0.21346153846155858,1.3968599009064522,1.9327314143880199,1.0,1.0,0.9998,3.0287309040653643,0.5
1.0,1.0,4,5000,5000,0.21070512820512022,1.429366621696454,2.1470326520547447,1.0,1.0,1.0,3.0266490070587078,0.5
1.0,1.0,5,5000,5000,0.22579792996111792,1.4870812543796679,2.2138880191135133,1.0,1.0,0.9994,3.07016459852269,0.5
1.0,2.0,1,5000,5000,4.633071029939799,18.4618632987892,22.7377221215452,1.0,1.0,0.4532,3.0157410927007113,0.5
1.0,2.0,2,5000,5000,4.492699004948406,18.195811294174874,23.17395855022123,1.0,1.0,0.4574,3.038623161478537,0.5
1.0,2.0,3,5000,5000,5.188058435344885,17.65235438278523,22.54666673422676,1.0,1.0,0.4024,3.0287309040653643,0.5
1.0,2.0,4,5000,5000,3.286422777165342,11.855398461467212,16.144555520442026,1.0,1.0,0.566,3.0266490070587078,0.5
1.0,2.0,5,5000,5000,6.267010377779627,17.875136897841756,20.815390635139053,1.0,1.0,0.2918,3.07016459852269,0.5
2.0,0.5,1,5000,5000,0.11897435897435571,0.7502747261618254,1.197438881005772,1.0,1.0,1.0,2.8881865052547124,0.5
2.0,0.5,2,5000,5000,0.11897435897435571,0.7717074294446904,1.1401538029347302,1.0,1.0,1.0,2.881025142577921,0.5
2.0,0.5,3,5000,5000,0.12016745710684518,0.7789074959583802,1.2008440375022622,1.0,1.0,1.0,3.126202526122318,0.5
2.0,0.5,4,5000,5000,0.11897435897435571,0.7515531552096095,1.1112724780163923,1.0,1.0,1.0,2.8933636055863015,0.5
2.0,0.5,5,5000,5000,0.11897435897435571,0.7798269806738631,1.1856500450125578,1.0,1.0,1.0,3.0616361192421286,0.5
2.0,1.0,1,5000,5000,0.39250269020851647,2.3336182619975396,3.4246693139900297,1.0,1.0,0.9968,2.8881865052547124,0.5
2.0,1.0,2,5000,5000,0.4179903882427425,2.4787786627923314,3.6727309228042624,1.0,1.0,0.993,2.881025142577921,0.5
2.0,1.0,3,5000,5000,0.448265324649725,2.26043725916972,3.524771547365935,1.0,1.0,0.9948,3.126202526122318,0.5
