timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787930741.313895,12.4,55.3,17.576648712158203,0.0,1977.54296875,8188.0,24.151721650586225,2200.0,0.0,318.28515625,249
1787930741.6375563,38.7,54.7,17.395416259765625,0.0,1977.54296875,8188.0,24.151721650586225,1466.0,281.8,134.59765625,249
1787930741.9566562,49.6,55.3,17.56694793701172,0.0,1979.66796875,8188.0,24.177674264167074,2200.0,334.8,322.0625,249
1787930742.2828596,56.9,55.3,17.584144592285156,17.0,1979.04296875,8188.0,24.170041142525648,1466.0,273.5,322.0625,249
1787930742.6059692,53.0,56.5,17.947528839111328,16.0,1991.54296875,8188.0,24.322703575354176,1466.0,453.3,685.78515625,249
1787930742.928824,43.5,56.5,17.941749572753906,16.0,1991.54296875,8188.0,24.322703575354176,2200.0,378.9,685.72265625,249
1787930743.2493043,51.2,56.5,17.95425033569336,0.0,1991.16796875,8188.0,24.31812370236932,2200.0,359.9,685.72265625,249
1787930743.5708401,46.5,56.5,17.95654296875,0.0,1991.16796875,8188.0,24.31812370236932,2200.0,539.9,692.55078125,249
1787930743.891893,46.8,54.8,17.400699615478516,21.0,1991.16796875,8188.0,24.31812370236932,2200.0,419.4,134.6015625,249
1787930744.2132297,46.4,54.8,17.401363372802734,6.0,1991.16796875,8188.0,24.31812370236932,2200.0,365.0,134.6015625,249
1787930744.5579062,43.1,55.9,17.779136657714844,6.0,1991.16796875,8188.0,24.31812370236932,2200.0,511.7,537.7890625,249
1787930744.8788133,45.6,54.8,17.402359008789062,0.0,1991.16796875,8188.0,24.31812370236932,2200.0,477.8,138.28515625,249
1787930745.1987484,46.5,54.8,17.40196990966797,0.0,1990.60546875,8188.0,24.311253892892037,2200.0,362.7,138.28515625,249
1787930745.5383651,44.4,54.9,17.458484649658203,0.0,1990.60546875,8188.0,24.311253892892037,2200.0,391.6,202.23828125,249
1787930745.8653402,43.6,54.8,17.40654754638672,2.0,1989.60546875,8188.0,24.299040898265755,2200.0,486.9,141.7890625,249
1787930746.1894286,46.9,54.8,17.40149688720703,0.0,1988.98046875,8188.0,24.29140777662433,2200.0,395.1,138.18359375,249
1787930746.5238404,41.0,54.8,17.40569305419922,0.0,1988.98046875,8188.0,24.29140777662433,2200.0,390.3,141.9140625,249
1787930746.856724,52.8,54.8,17.404808044433594,0.0,1982.73046875,8188.0,24.215076560210065,2200.0,509.1,137.79296875,249
1787930747.177269,42.5,55.3,17.5706787109375,0.0,1982.73046875,8188.0,24.215076560210065,2200.0,411.9,318.2890625,249
1787930747.4977763,58.0,55.3,17.580833435058594,0.0,1981.66796875,8188.0,24.202100253419637,2200.0,332.6,318.28125,249
1787930747.8204827,38.9,55.9,17.76119613647461,9.0,1981.91796875,8188.0,24.205153502076207,2200.0,500.3,509.3125,249
1787930748.1400218,47.4,54.8,17.413414001464844,19.0,1977.91796875,8188.0,24.15630152357108,2200.0,432.5,145.16796875,249
1787930748.4612708,49.8,54.8,17.408920288085938,19.0,1977.29296875,8188.0,24.148668401929655,2200.0,365.2,141.984375,249
1787930748.7821627,48.5,55.9,17.764007568359375,0.0,1977.29296875,8188.0,24.148668401929655,2200.0,539.7,516.953125,249
1787930749.1039672,41.7,54.8,17.407379150390625,2.0,1977.29296875,8188.0,24.148668401929655,2200.0,397.8,138.14453125,249
1787930749.4236314,51.8,54.7,17.40009307861328,2.0,1977.29296875,8188.0,24.148668401929655,2200.0,401.3,134.65625,249
1787930749.7427464,41.4,56.5,17.94106674194336,0.0,1977.29296875,8188.0,24.148668401929655,2200.0,478.3,696.74609375,249
1787930750.0742915,53.7,56.4,17.939292907714844,0.0,1977.29296875,8188.0,24.148668401929655,2200.0,364.9,692.65234375,249
1787930750.4014401,47.3,54.8,17.40190887451172,10.0,1977.29296875,8188.0,24.148668401929655,2200.0,366.9,138.35546875,249
1787930750.7221909,41.4,55.3,17.579933166503906,4.0,1977.29296875,8188.0,24.148668401929655,2200.0,451.2,325.8203125,249
1787930751.046522,50.8,54.8,17.405807495117188,4.0,1977.29296875,8188.0,24.148668401929655,2200.0,434.5,142.03125,249
1787930751.3706138,47.8,55.3,17.579113006591797,0.0,1977.29296875,8188.0,24.148668401929655,2200.0,351.8,318.2734375,249
1787930751.691458,41.5,55.0,17.49063491821289,8.0,1977.29296875,8188.0,24.148668401929655,2200.0,438.8,220.01171875,249
1787930752.014223,50.7,55.3,17.58182144165039,8.0,1977.29296875,8188.0,24.148668401929655,2200.0,363.0,325.8125,249
1787930752.334565,45.8,55.3,17.579696655273438,6.0,1977.29296875,8188.0,24.148668401929655,2200.0,322.1,318.390625,249
