run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3
e2_A_p0.7_c016_l0.80_L1_g0.5_r01,A,0.7,0.8,4.571428571428572,L1,0.5,16,1,1001,200,57.88952895022379,26,9716,0.3452894422726003,0.6494775889465196,2.4396189828958814,0.7146367565996705,0.6777683298794841,0.5043788778490841,1.7033914107114003,0.52978515625,2.1861479565247555,0.14909194238673573,0.9725577926920209,1.0,0.9725577926920209,0.8165286888336395,0.21626400878930416,0.22214844939953154,0.2157018967838427,0,0.8165286888336395,False,7319.0,7083,6322.0,961,8005.0,982,7946.0,957
e2_A_p0.7_c016_l0.80_L1_g0.5_r02,A,0.7,0.8,4.571428571428572,L1,0.5,16,2,1002,200,58.315510237772315,13,9726,0.35333281816610207,0.7620459004883267,3.180504674474371,0.869733198146835,0.6235601141796425,0.5027511879763192,2.299885684989985,0.529296875,2.933286656511318,0.09688959446499223,0.9240395809080326,1.0,0.9240395809080326,0.8405113688381992,0.2155916902292159,0.20515704967082418,0.21550055349186467,0,0.8405113688381992,False,7841.0,7214,6091.0,939,6284.0,890,6197.0,941
e2_A_p0.7_c016_l0.80_L1_g0.5_r03,A,0.7,0.8,4.571428571428572,L1,0.5,16,3,1003,200,63.703784078487175,162,9718,0.3519478965211716,0.7587665343582404,4.73072384774751,0.8577793017400664,1.2788224144497753,0.5240276286854062,2.124089294824818,0.53076171875,4.469946079546286,0.11666418771560035,0.9439648866130212,0.9937565036420395,0.9498955560577105,0.8367839720293074,0.2089804197263504,0.21295331134941287,0.21747442491873226,0,0.8367839720293074,False,7368.0,7194,6384.0,909,6378.0,931,8043.0,950
e2_A_p0.7_c016_l0.80_L1_g0.5_r04,A,0.7,0.8,4.571428571428572,L1,0.5,16,4,1004,200,59.77502519778763,0,9727,0.34718255776682855,0.6518247204991758,2.257667898155762,0.717290191230592,0.6161774759593768,0.5029574299365884,1.6846523019660253,0.529296875,2.0018595847606435,0.11690366849718511,0.9785375962107756,1.0,0.9785375962107756,0.8278394829619123,0.21108613944944446,0.2221448700356238,0.21928204731924578,0,0.8278394829619123,False,8085.0,7125,8138.0,926,6156.0,977,6382.0,955
e2_A_p0.7_c016_l0.80_L1_g0.5_r07,A,0.7,0.8,4.571428571428572,L1,0.5,16,7,1007,200,62.833750864310616,200,9726,0.3504982007910014,0.8214107123126816,4.960777668876714,0.9476383901875188,1.7840240515059695,0.5253162728807876,2.518148907906705,0.5302734375,4.711480793876715,0.1382907506255108,0.9143569438334067,0.9920880632954936,0.9216489721649491,0.846843852292198,0.21777750038118315,0.2245379515603263,0.21086426933451183,0,0.846843852292198,False,7139.0,7179,6371.0,939,7979.0,961,6248.0,905
e2_A_p0.7_c016_l0.80_L1_g0.5_r05,A,0.7,0.8,4.571428571428572,L1,0.5,16,5,1005,200,72.81840344804468,10,9686,0.34852981032065355,0.6724892815075431,2.6969944501631415,0.7460070825421791,0.6276572703972577,0.5035510318709214,1.8245837411648604,0.529541015625,2.446994450163133,0.13254077435940984,0.964735516372796,1.0,0.964735516372796,0.8261401769016576,0.21009199447289226,0.21911123029799479,0.21481411283210058,0,0.8261401769016576,False,7306.0,7128,8037.0,932,7939.0,967,6170.0,956
e2_A_p0.7_c016_l0.80_L1_g0.5_r08,A,0.7,0.8,4.571428571428572,L1,0.5,16,8,1008,200,58.23238167351669,18,9711,0.34940895696648067,0.7387539150953926,3.2054940778071526,0.8392358840327394,0.6748438097571069,0.5049500325936935,2.205782458536464,0.52978515625,2.934403139700822,0.16548094454058057,0.9344817432273262,1.0,0.9344817432273262,0.8424075642281242,0.22290047663643897,0.2207055014443735,0.2121596760061497,0,0.8424075642281242,False,8134.0,7146,8055.0,967,8131.0,951,7901.0,917
e2_A_p0.7_c016_l0.80_L1_g0.5_r06,A,0.7,0.8,4.571428571428572,L1,0.5,16,6,1006,200,62.347571069000075,56,9702,0.3568980450439599,0.7220129828489329,3.3785636918577158,0.807857048612441,0.7179750356416927,0.507727633824133,2.0034931521901846,0.52978515625,3.135153336188933,0.11646489241309109,0.9497618016457341,1.0,0.9497618016457341,0.8412286156587615,0.2040109039554904,0.2010495298514255,0.21555730170157478,0,0.8412286156587615,False,7189.0,7256,6161.0,895,7845.0,886,6177.0,947
e2_A_p0.7_c016_l0.80_L1_g0.5_r09,A,0.7,0.8,4.571428571428572,L1,0.5,16,9,1009,200,58.735908037798346,8,9702,0.3522081133084978,0.7490730083356938,3.0883196560337205,0.8526622469423465,0.6260632319339323,0.5026020613060718,2.259167248913684,0.529541015625,2.829625328318632,0.12218689409980969,0.9298784950958864,1.0,0.9298784950958864,0.843492558975228,0.2094426905282813,0.22321599671133566,0.209271608279612,0,0.843492558975228,False,8016.0,7190,8116.0,916,6166.0,973,8095.0,904
e2_A_p0.7_c016_l0.80_L1_g0.5_r10,A,0.7,0.8,4.571428571428572,L1,0.5,16,10,1010,200,70.25001905001136,45,9696,0.35566306007708176,0.7438449902154662,3.285587885694149,0.8407246305871875,0.6662741693743076,0.5051244187100137,2.103859593505194,0.52978515625,3.0248919074487093,0.12846433956353154,0.9421487603305785,1.0,0.9421487603305785,0.8550216582382252,0.21700451230027096,0.20814376068687673,0.21198728734578928,0,0.8550216582382252,False,8186.0,7228,8170.0,937,6211.0,896,6116.0,922
e2_B_p0.7_c016_l0.80_L1_g0.5_r01,B,0.7,0.8,4.571428571428572,L1,0.5,16,1,1001,200,57.59696062282467,0,9716,0.3452894422726003,0.3330994675166654,0.4192483606083624,0.25579583231858527,0.6561534696118769,0.5052419032533401,0.2822564122213175,0.5338236647140775,0.16456406328231882,0.15593966246092406,1.0,1.0,1.0,0.36328845356547385,0.358687801003271,0.374082231450228,0.3743855004311158,3,0.3743855004311158,False,7121.0,2475,7241.0,2452,6274.0,2531,7078.0,2525
e2_B_p0.7_c016_l0.80_L1_g0.5_r02,B,0.7,0.8,4.571428571428572,L1,0.5,16,2,1002,200,56.64170947453409,0,9732,0.3532695979445731,0.33011148625984127,0.4364217398770382,0.2573110905149343,0.6482527367847798,0.5052961977565985,0.30331434779502614,0.531005859375,0.18282378421822304,0.14415289618885277,1.0,1.0,1.0,0.36616065930006875,0.3705386600860473,0.3740592737479272,0.3655421034590358,2,0.3740592737479272,False,6881.0,2476,7446.0,2520,7114.0,2511,8102.0,2474
e2_B_p0.7_c016_l0.80_L1_g0.5_r03,B,0.7,0.8,4.571428571428572,L1,0.5,16,3,1003,200,62.65035449693088,0,9722,0.35196005995791524,0.3294676459750648,0.39848404422502665,0.25513562583449473,0.6741616198124166,0.5057097935899114,0.28125,0.53125,0.15419282568748038,0.1652918607143147,1.0,1.0,1.0,0.36779045066911803,0.36899559450247277,0.37091415575624315,0.3681092008593679,2,0.37091415575624315,False,7396.0,2490,8179.0,2483,7360.0,2509,8096.0,2498
e2_B_p0.7_c016_l0.80_L1_g0.5_r05,B,0.7,0.8,4.571428571428572,L1,0.5,16,5,1005,200,72.3266869497989,0,9687,0.34854536518119544,0.33110481942139447,0.402144612647989,0.2549329236575816,0.6570017867992188,0.5061679097876651,0.28125,0.5338076295033031,0.14557510618618622,0.1518029717603983,1.0,1.0,1.0,0.3678818012609976,0.3775550405412296,0.3608377795111825,0.3637309370794962,1,0.3775550405412296,False,8128.0,2507,7351.0,2552,8071.0,2470,7927.0,2449
e2_B_p0.7_c016_l0.80_L1_g0.5_r06,B,0.7,0.8,4.571428571428572,L1,0.5,16,6,1006,200,61.756917950076094,0,9704,0.35692578934530167,0.3276751670214882,0.4222021152892286,0.2559518095385417,0.6651829422807941,0.5067638675617894,0.28125,0.5412814801134799,0.1759121988033304,0.164385832403435,1.0,1.0,1.0,0.3606532493891356,0.3688859748993288,0.3686284776927564,0.3641743433718646,1,0.3688859748993288,False,7251.0,2498,7181.0,2503,8166.0,2496,8108.0,2482
e2_B_p0.7_c016_l0.80_L1_g0.5_r04,B,0.7,0.8,4.571428571428572,L1,0.5,16,4,1004,200,59.22360354845656,0,9729,0.347162916454932,0.33271567082431874,0.4273446894951801,0.2564121866023857,0.6603137216458447,0.5061956987138214,0.28125,0.53125,0.16923822654691548,0.16420142443742622,1.0,1.0,1.0,0.3686602965754157,0.37090153335117754,0.3696981442767457,0.37110541660932084,3,0.37110541660932084,False,7438.0,2506,6364.0,2499,6900.0,2489,7035.0,2487
e2_B_p0.7_c016_l0.80_L1_g0.5_r07,B,0.7,0.8,4.571428571428572,L1,0.5,16,7,1007,200,62.82357748468135,0,9726,0.3504982007910014,0.33077953372969804,0.40112280499637776,0.255998821332813,0.6585013731012203,0.5061939395894707,0.28936726494162024,0.5479847014392584,0.15184136695675035,0.15846588015684357,1.0,1.0,1.0,0.37734868523745446,0.3688736165733934,0.3766896948341721,0.37699811279436407,0,0.37734868523745446,False,8004.0,2478,6227.0,2474,7889.0,2512,7373.0,2518
e2_B_p0.7_c016_l0.80_L1_g0.5_r08,B,0.7,0.8,4.571428571428572,L1,0.5,16,8,1008,200,57.23844123826943,0,9716,0.34943674189830043,0.33217660144478817,0.43932116990542946,0.25716878648138536,0.6618955228925857,0.506749584489749,0.2954155985770015,0.5428145010935093,0.18178345499565016,0.1602864907967489,1.0,1.0,1.0,0.3744724243070907,0.370441330741606,0.37403226898943015,0.3791061744967,3,0.3791061744967,False,7170.0,2504,6354.0,2476,7120.0,2482,7987.0,2519
e2_B_p0.7_c016_l0.80_L1_g0.5_r10,B,0.7,0.8,4.571428571428572,L1,0.5,16,10,1010,200,70.25001905001136,0,9696,0.35566306007708176,0.3275569557029318,0.399815282395225,0.25533474363389586,0.6542806630551444,0.5055192981967298,0.28125,0.53125,0.14698551912355465,0.1606030296764129,1.0,1.0,1.0,0.3668340108754165,0.3701500935994866,0.38350156090335336,0.37203984227933934,2,0.38350156090335336,False,7460.0,2479,8076.0,2457,7345.0,2554,8116.0,2489
e2_A_p0.7_c016_l0.80_L2_g0.5_r01,A,0.7,0.8,4.571428571428572,L2,0.5,16,1,1001,200,57.88952895022379,26,9716,0.3452894422726003,0.64835591058708,2.4528888019059014,0.7130688120144238,0.6824319456504786,0.5042509607131708,1.699798002859096,0.52978515625,2.1947853991654482,0.1539907898303345,0.9728560775540641,1.0,0.9728560775540641,0.8194659951772906,0.21709565440510145,0.22361088951663433,0.2104705047072915,0,0.8194659951772906,False,3179.0,7099,4086.0,965,1985.0,994,4093.0,935
