run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,sanity_flag,ts_utc
e1_Bp_p0.8_l0.65_L1_g1.0_r01,Bp,0.8,0.65,1.625,L1,1.0,32,1,1001,200,134.5606698529639,0,9756,0.3961748969133426,0.6087618700148708,0.7225556061602975,0.5046792636354464,1.268896923645345,1.004644752477231,0.55810546875,1.056640625,0.2340128630725783,0.2589988050557175,1.0,1.0,1.0,0.2422048082884694,0.2390159798947026,0.2426779557482741,0.2400283939338218,2,0.2426779557482741,False,8112.0,2516,7963.0,2473,7402.0,2502,7162.0,2487,False,2026-08-27T14:58:07.114015+00:00
e1_A_p0.9_l0.80_L1_g1.0_r01,A,0.9,0.8,1.777777777777778,L1,1.0,32,1,1001,200,111.41963627340546,0,9780,0.448519993754879,1.4212184820652012,4.997566550655748,1.470124356240466,1.0609765625,0.9979630043805529,3.6809322410217193,1.05517578125,4.511663403583736,0.0,0.7682217406182275,1.0,0.7682217406182275,0.7922665198237705,0.0572278564708102,0.0576813052655979,0.0563019306161213,0,0.7922665198237705,False,7405.0,9015,8151.0,323,8113.0,326,6165.0,319,True,2026-08-27T14:59:34.033519+00:00
e1_B_p0.9_l0.80_L1_g1.0_r01,B,0.9,0.8,1.777777777777778,L1,1.0,32,1,1001,200,110.77925101374224,0,9780,0.448519993754879,0.5530042109826695,0.5762828062413888,0.5013406487468455,1.0727237989637797,1.0001260768478912,0.5576171875,1.05615234375,0.0704343441930551,0.0906092260617151,1.0,1.0,1.0,0.2401589661252108,0.2437663296917138,0.241401771079775,0.238040262959691,1,0.2437663296917138,False,8157.0,2473,8102.0,2523,7072.0,2490,7310.0,2490,True,2026-08-27T14:59:36.698035+00:00
e1_A_p0.8_l0.80_L1_g2.0_r01,A,0.8,0.8,1.0,L1,2.0,32,1,1001,200,220.5457270387554,0,9755,0.3961647426033313,2.7059797823072302,10.134120233988874,2.891680090798896,2.1240234375,1.9997517257884585,7.211292597784268,2.111328125,9.177023145030397,0.0,0.435007767995857,0.5155096011816839,0.8438402834762041,0.8009144791778945,0.1345431451234282,0.1314557853052179,0.1196621101666905,0,0.8009144791778945,False,7340.0,8035,7995.0,679,8101.0,665,8083.0,603,True,2026-08-27T14:59:47.011782+00:00
e1_B_p0.8_l0.80_L1_g2.0_r01,B,0.8,0.8,1.0,L1,2.0,32,1,1001,200,218.86360315950387,0,9756,0.3961748969133426,1.2168473604659205,1.4167118902016238,1.0090938515598442,2.401298626477592,2.0070471912386627,1.119140625,2.1162109375,0.4077203781077346,0.3864133355777093,0.9997411003236246,0.5046774987690793,0.5048081934469943,0.2959135761869199,0.2980943371396972,0.2957015222272936,0.2966649655306346,1,0.2980943371396972,False,7148.0,2510,8031.0,2505,8130.0,2485,7155.0,2479,True,2026-08-27T14:59:51.416352+00:00
e1_A_p0.8_l0.50_L1_g1.0_r01,A,0.8,0.5,1.25,L1,1.0,32,1,1001,200,175.5359956935043,0,9756,0.3961748969133426,0.8111934263293726,2.139185841769614,0.7619333370507014,1.06103515625,0.9985563951514974,1.5470781793115749,1.05517578125,1.6329038226236123,0.0,0.9851132686084142,1.0,0.9851132686084142,0.5190378877549405,0.0748958080191753,0.0720188525442391,0.0756001162424462,0,0.5190378877549405,False,7348.0,8186,7954.0,600,8040.0,584,8165.0,613,True,2026-08-27T14:59:52.646415+00:00
e1_A_p0.8_l0.65_L1_g1.0_r01,A,0.8,0.65,1.625,L1,1.0,32,1,1001,200,135.37406820173408,0,9756,0.3961748969133426,0.983532035460553,3.0975882463796744,0.979459746618498,1.0615234375,0.9990211695348398,2.250107889424816,1.05517578125,2.588592827406047,0.0,0.928284789644013,1.0,0.928284789644013,0.664255503941013,0.1015829704028789,0.100136951748353,0.0980801093545038,0,0.664255503941013,False,7340.0,8117,8073.0,631,8018.0,621,6200.0,614,True,2026-08-27T14:59:53.782566+00:00
e1_A_p0.8_l0.80_L1_g1.0_r01,A,0.8,0.8,2.0,L1,1.0,32,1,1001,200,110.2728635193777,0,9755,0.3961647426033313,1.331874733031422,4.997550503365131,1.4191727269786825,1.06201171875,0.9998758628942293,3.5091570885650745,1.0556640625,4.510378235461693,0.0,0.7893578456758157,1.0,0.7893578456758157,0.7988411157959934,0.1289795987248489,0.1318355787874771,0.1269192264649116,0,0.7988411157959934,False,7348.0,8025,8058.0,653,8071.0,668,6174.0,638,True,2026-08-27T14:59:55.029210+00:00
e1_B_p0.8_l0.50_L1_g1.0_r01,B,0.8,0.5,1.25,L1,1.0,32,1,1001,200,174.7815711960664,0,9756,0.3961748969133426,0.6042561025195476,0.56201171875,0.5002998661596871,1.0625,0.9996583309193122,0.55712890625,1.055908203125,0.0,0.0,1.0,1.0,1.0,0.1842973832630514,0.1855460262710385,0.1867994663117115,0.1848393249557265,2,0.1867994663117115,False,7159.0,2460,7199.0,2528,8104.0,2504,7313.0,2487,True,2026-08-27T14:59:56.441738+00:00
e1_B_p0.8_l0.65_L1_g1.0_r01,B,0.8,0.65,1.625,L1,1.0,32,1,1001,200,134.5606698529639,0,9756,0.3961748969133426,0.6059000868055049,0.6074700170479638,0.5019554738525921,1.0938991734606818,1.0012581050532896,0.55810546875,1.056396484375,0.103350392813764,0.0941845734483652,1.0,1.0,1.0,0.2408233424287252,0.2430010359924564,0.240854363249003,0.2392483961950832,1,0.2430010359924564,False,8085.0,2501,7368.0,2505,7967.0,2496,6284.0,2477,True,2026-08-27T14:59:57.855859+00:00
