run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,variant,replication_active,replication_kv_extra,total_input_tokens,replication_tokens,replication_share
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r01,B,0.7,0.5,1.4285714285714286,L1,1.0,16,1,1001,200,184.03048883678895,0,9716,0.3452894422726003,0.6565233446418399,0.5821191834736965,0.5017169230140782,1.1116677299421558,1.0012516930357762,0.55810546875,1.05712890625,0.08040113022347213,0.10619371073423765,1.0,1.0,1.0,0.23042127335739165,0.22786963328782206,0.23370358725166368,0.227074222468216,2,0.23370358725166368,False,8011.0,2521,7306.0,2453,8035.0,2521,6202.0,2487,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r02,B,0.7,0.5,1.4285714285714286,L1,1.0,16,2,1002,200,180.9379429747591,0,9732,0.3532695979445731,0.6496045810777913,0.660949024439015,0.5031250401009377,1.0625,1.0020886007543295,0.5576171875,1.05810546875,0.15587548330098852,0.031428586524744125,1.0,1.0,1.0,0.2309960512344419,0.23035752607656268,0.23006808138396204,0.23125922182311362,3,0.23125922182311362,False,7255.0,2498,8170.0,2502,7137.0,2492,7955.0,2489,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r03,B,0.7,0.5,1.4285714285714286,L1,1.0,16,3,1003,200,200.20369298392882,0,9724,0.35199051516786156,0.6498807887076714,0.5761782312756522,0.5014080187983581,1.1065609477276304,1.0020145425841287,0.55712890625,1.05908203125,0.07123316002486688,0.1270896681015211,1.0,1.0,1.0,0.23637132654768103,0.2283466507550286,0.22723211245049355,0.2304811561421093,0,0.23637132654768103,False,7343.0,2562,7172.0,2462,7393.0,2449,8180.0,2507,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r04,B,0.7,0.5,1.4285714285714286,L1,1.0,16,4,1004,200,189.219339948811,0,9729,0.347162916454932,0.6554907614742977,0.575083871491988,0.5027110379915976,1.095781507350888,1.0028435850182431,0.5576171875,1.0576171875,0.06733399238280069,0.09387921450258545,1.0,1.0,1.0,0.23308115643985042,0.22903664456093026,0.23031268741875266,0.23279409123968162,0,0.23308115643985042,False,7102.0,2530,7269.0,2469,7213.0,2488,6128.0,2494,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r06,B,0.7,0.5,1.4285714285714286,L1,1.0,16,6,1006,200,197.3561218152435,0,9705,0.35694165896748314,0.6456173421248823,0.5937003869788113,0.502425235221563,1.0958476316408592,1.0032106036888475,0.5576171875,1.0572753906249999,0.09133088707594425,0.10519461349400272,1.0,1.0,1.0,0.2276535600663609,0.2307275955900789,0.22713721381673657,0.22843895891795674,1,0.2307275955900789,False,8100.0,2478,7330.0,2525,7067.0,2476,7218.0,2502,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r05,B,0.7,0.5,1.4285714285714286,L1,1.0,16,5,1005,200,231.1263552706065,0,9688,0.34856016110855564,0.6531279178283776,0.5625,0.5010254571189929,1.0765747915304373,1.002751245117808,0.55712890625,1.0576171875,0.025585584637610737,0.049668472207339213,1.0,1.0,1.0,0.22643097764532746,0.23256776791292258,0.22717750739374828,0.2325903102953049,3,0.2325903102953049,False,7405.0,2463,7791.0,2521,8052.0,2499,7333.0,2497,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r07,B,0.7,0.5,1.4285714285714286,L1,1.0,16,7,1007,200,200.731381672044,0,9726,0.3504982007910014,0.6514096899890702,0.5625,0.5020398319651649,1.0842362514679917,1.0017891402350318,0.55810546875,1.0576171875,0.03119372696453966,0.0752152904863034,1.0,1.0,1.0,0.236380153956871,0.2315480661811574,0.23521984537734997,0.23433912263402606,0,0.236380153956871,False,8018.0,2527,6357.0,2455,6235.0,2531,6081.0,2470,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r08,B,0.7,0.5,1.4285714285714286,L1,1.0,16,8,1008,200,182.8653557124622,0,9718,0.3494146633885882,0.6537846901316646,0.6058912173187578,0.5035331270235847,1.0756092500161691,1.0034114872715554,0.55859375,1.0576171875,0.10804854326375786,0.06419519158025869,1.0,1.0,1.0,0.23353395304986516,0.23634638954484022,0.23442421849954478,0.23205534317249774,1,0.23634638954484022,False,7052.0,2481,8007.0,2508,7158.0,2495,7497.0,2495,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r09,B,0.7,0.5,1.4285714285714286,L1,1.0,16,9,1009,200,182.32240069092248,0,9717,0.35218356622420566,0.6502775147368512,0.6054982194026376,0.5026870395561883,1.0835068262339291,1.0013437319520513,0.55810546875,1.05810546875,0.10203627876112657,0.08324220447480002,1.0,1.0,1.0,0.23200570214773944,0.22976154411549837,0.23115648923632873,0.23527728606474174,3,0.23527728606474174,False,8118.0,2525,7839.0,2460,8065.0,2490,7165.0,2504,base,False,0,,0,0.0
e3_B_p0.7_c016_l0.50_L1_g1.0_base_r10,B,0.7,0.5,1.4285714285714286,L1,1.0,16,10,1010,200,224.53756096003636,0,9696,0.35566306007708176,0.6464013850398327,0.5625,0.5021930672323207,1.0893412986637303,1.0017442817595217,0.5576171875,1.05810546875,0.04962406600967354,0.08432014468424312,1.0,1.0,1.0,0.23604818246885262,0.23017305999517446,0.23133417375485152,0.23528245173309484,0,0.23604818246885262,False,8106.0,2548,7073.0,2448,6291.0,2477,7382.0,2507,base,False,0,,0,0.0
