run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,replication_active,replication_kv_extra
e2_A_p0.5_c008_l0.50_L2_g1.0_r04,A,0.5,0.5,2.0,L2,1.0,8,4,1004,200,192.9239900938234,22,9619,0.2456531037426963,0.9381970526001189,2.333538092365574,0.8636538382669481,1.3946862176107846,1.0102260334163284,1.7369293732069764,1.0608359105467458,1.8526533892767891,0.3756894824376971,0.9741908187010789,1.0,0.9741908187010789,0.6290700091630862,0.28969370603243466,0.28937743701939844,0.2894662634910088,0,0.6290700091630862,False,4032.0,5626,4093.0,1456,4031.0,1458,2155.0,1452,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r06,A,0.5,0.5,2.0,L2,1.0,8,6,1006,200,176.60997309851942,8,9622,0.25616847584002217,0.9454807368157592,2.422154440893166,0.8832562883120493,1.368141631957679,1.0108887000585205,1.820579706686658,1.06103515625,1.9158633644070957,0.35261148861282027,0.9697830054755627,1.0,0.9697830054755627,0.62984629527274,0.28444311553836976,0.27529170940828207,0.28799295585903006,0,0.62984629527274,False,4032.0,5733,3905.0,1424,2022.0,1387,2143.0,1449,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r07,A,0.5,0.5,2.0,L2,1.0,8,7,1007,200,194.20511678213327,28,9626,0.24714507599589777,0.9612208892234375,2.4632475175940276,0.9093385568410132,1.3964302911954574,1.0119519391120664,1.84178423859289,1.0615234375,1.9799925850564302,0.39618407644595466,0.9684807732716957,1.0,0.9684807732716957,0.6396164764505741,0.29417001034811696,0.29494142948216123,0.2930954572093878,0,0.6396164764505741,False,3970.0,5641,4005.0,1452,4069.0,1456,2006.0,1444,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r08,A,0.5,0.5,2.0,L2,1.0,8,8,1008,200,182.77835991850776,11,9605,0.24471227570398993,0.957959716844708,2.4165377711913245,0.9018363650865198,1.3636082631526165,1.0118495882778251,1.863547625711636,1.0615234375,1.930867524264886,0.36905502891402703,0.9649309245483528,1.0,0.9649309245483528,0.6299762686132017,0.29326242969120275,0.2996402514519912,0.29744557163093854,0,0.6299762686132017,False,3124.0,5580,4036.0,1448,3915.0,1482,2126.0,1483,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r10,A,0.5,0.5,2.0,L2,1.0,8,10,1010,200,230.3290937090645,14,9566,0.25323907987881755,0.9503021493362286,2.448570309068001,0.8916575646889585,1.3649016913616834,1.0104870704580302,1.8313681222394744,1.06103515625,1.9323160317834487,0.36598209690246236,0.9661506707946337,1.0,0.9661506707946337,0.6448228783262555,0.292790934324252,0.284929400258103,0.292694112265403,0,0.6448228783262555,False,3974.0,5702,2143.0,1439,2118.0,1416,1959.0,1437,,
e2_A_p0.5_c008_l0.50_L2_g1.0_r09,A,0.5,0.5,2.0,L2,1.0,8,9,1009,200,181.21996335135046,40,9608,0.2471413844555986,0.9449003055004634,2.3781863197852453,0.8751087055244853,1.462833671582757,1.0130551553432878,1.7672669106670267,1.06201171875,1.9085249568888185,0.4209838623653922,0.97198230461344,0.9997942810121374,0.972182300972414,0.6300171640761689,0.29177225063795326,0.29859873196248854,0.2887844165604663,0,0.6300171640761689,False,2116.0,5617,3896.0,1445,4040.0,1491,3864.0,1440,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r03,A,0.5,0.65,2.6,L1,1.0,8,3,1003,200,165.7842204086478,409,9578,0.2499924106968613,1.1728779337053943,6.589603974082512,1.266635665994699,2.864455287225899,1.0792766925194308,2.888605896044601,1.3697289394560357,6.072967335703451,0.6397642685728715,0.8746081504702194,0.985186730648863,0.8877587601024485,0.7721105691002327,0.3920149713919787,0.38357066476715335,0.39536538326325393,0,0.7721105691002327,False,7299.0,5467,6090.0,1508,6200.0,1487,6155.0,1523,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r02,A,0.5,0.65,2.6,L1,1.0,8,2,1002,200,151.36091732999697,364,9596,0.25664424218601944,1.1367919287796375,3.790727998407929,1.2206164791996168,1.785161386862524,1.048409160460563,2.765067759356226,1.375578150272247,3.3025135600896647,0.7022620248474597,0.8611167512690355,0.99443374009848,0.8659367804472906,0.7852526598737939,0.38552706567728673,0.3830780747570768,0.37642132340669926,0,0.7852526598737939,False,7914.0,5576,8132.0,1482,8192.0,1474,6180.0,1450,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r01,A,0.5,0.65,2.6,L1,1.0,8,1,1001,200,161.25043319588062,198,9586,0.2446947427334687,1.0765651461034769,3.2986934858957384,1.116083884351248,1.7216241108265342,1.0387407596384806,2.3331041384143356,1.3090863625133349,2.813350447700041,0.6369846084717533,0.9140358361774744,0.995508370763577,0.9181598698927952,0.7663430042654499,0.3846769084684314,0.39617069059027415,0.38744818759325655,0,0.7663430042654499,False,7319.0,5430,8131.0,1499,8170.0,1546,7965.0,1507,,
e2_A_p0.5_c008_l0.65_L1_g1.0_r04,A,0.5,0.65,2.6,L1,1.0,8,4,1004,200,148.9515714033653,209,9618,0.2456280614533045,1.0755316779422612,3.21219908313077,1.1167664450690116,1.7030069621097257,1.0356961281791741,2.3849648016500424,1.29008692186801,2.7439654363681143,0.6359105609421254,0.9039356749894202,0.9975470155355682,0.9061584676328368,0.7688334085420468,0.3971059021669026,0.3864337840870136,0.39443038517405393,0,0.7688334085420468,False,8085.0,5438,8152.0,1524,8135.0,1499,6386.0,1521,,
