run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,cv
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r01,A,0.7,0.5,1.4285714285714286,L1,1.0,16,1,1001,200,205.36624157823474,52,9713,0.3452900110375137,1.3929804167642925,5.719115110490938,1.552772946055306,1.854724195735766,1.0371367875823445,3.9307537613605747,1.255136683076192,5.201117232570492,0.8177555629648029,0.747277338505147,0.9946843853820598,0.7512708045759827,0.5265727304158904,0.13968562896864234,0.1354412874312669,0.13693736031520867,0,0.5265727304158904,False,7439.0,7127,8141.0,969,8103.0,937,8116.0,950,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r02,A,0.7,0.5,1.4285714285714286,L1,1.0,16,2,1002,200,180.03713158096406,40,9727,0.3532985630838435,1.4581799263431408,5.984902604697499,1.6341427253067544,1.8888149637960034,1.034636544739654,4.169924460729225,1.2075245850629222,5.474102270832949,0.8828176937690484,0.720023282887078,0.9961471103327496,0.7228081830670209,0.5358419361207873,0.13478150599545635,0.13110964174897025,0.13333890236200105,0,0.5358419361207873,False,7841.0,7243,6283.0,928,6207.0,900,6157.0,913,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r03,A,0.7,0.5,1.4285714285714286,L1,1.0,16,3,1003,200,212.05814120950782,18,9723,0.35197616479582966,1.453931419893622,5.821105541995373,1.6326864349271488,1.8207171723425608,1.0300390662825645,4.200244429803022,1.2309280360114712,5.308221084741283,0.818608091747351,0.7213042842520836,0.9986130374479889,0.7223060957579893,0.5384854867780628,0.13596414950944005,0.13243187840093093,0.13202048033115144,0,0.5384854867780628,False,7368.0,7237,6160.0,932,6378.0,911,8181.0,904,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r04,A,0.7,0.5,1.4285714285714286,L1,1.0,16,4,1004,200,211.4672923825733,47,9726,0.3472198821253691,1.4291866906103925,5.7468074056691405,1.600284895404385,1.8853152793167187,1.0399814813214314,4.0125873431192645,1.3039189864756895,5.255866364478652,0.8762576782572679,0.7260213143872114,0.9946127946127946,0.729953725027088,0.5117779540428081,0.1341390320413377,0.1315799138374093,0.1312764144404916,0,0.5117779540428081,False,8085.0,7148,6276.0,954,6314.0,945,8167.0,936,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r05,A,0.7,0.5,1.4285714285714286,L1,1.0,16,5,1005,200,230.51986488421394,26,9684,0.3485516619447088,1.4250703974566348,5.891281744517819,1.5961213842703272,1.8113105408900554,1.0319327751750278,3.979455580648664,1.2292577360453834,5.35712792594129,0.7977753068717454,0.724510966212211,0.9976158038147139,0.7262424707405434,0.5151730058168701,0.13205070722259996,0.12934629049104898,0.13228911212045924,0,0.5151730058168701,False,7306.0,7159,8057.0,950,8023.0,926,7938.0,947,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r07,A,0.7,0.5,1.4285714285714286,L1,1.0,16,7,1007,200,210.03809633629405,28,9725,0.35053215943367516,1.4504164041043117,5.993592494043954,1.630723714515563,1.806416729270516,1.0273208949183779,4.18943440394082,1.1067917511170435,5.492712763509658,0.7829895441307818,0.7181404898078897,0.9982794218857536,0.7193782362570588,0.5408767891657523,0.13752804309337135,0.13329822365894095,0.13541422261312955,0,0.5408767891657523,False,7139.0,7212,6226.0,943,8180.0,906,8028.0,922,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r08,A,0.7,0.5,1.4285714285714286,L1,1.0,16,8,1008,200,163.54514553486564,31,9716,0.34943674189830043,1.4197839923750022,5.391396072858461,1.5891491371844872,1.7287172833449584,1.0256040183595023,3.9977559669609946,1.1059975949112817,4.9231127918722235,0.7101329163106159,0.7248381400824014,0.998972602739726,0.7255836026879028,0.518461066864856,0.12905132321790677,0.13161633788725685,0.129463503874197,0,0.518461066864856,False,8134.0,7200,7838.0,919,7882.0,933,8117.0,929,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r06,A,0.7,0.5,1.4285714285714286,L1,1.0,16,6,1006,200,199.21075074595447,47,9703,0.35691300501077794,1.5168963920216163,6.515124312673192,1.7149173553528012,1.714218884749413,1.022521893297851,4.5067401466779735,1.06201171875,6.027211085710359,0.6801488631698926,0.7022228637413395,0.9981981981981982,0.7034904140369015,0.5436710479775223,0.12507197484246513,0.12918300882510156,0.13296044221075862,0,0.5436710479775223,False,7189.0,7312,8091.0,863,8098.0,892,8145.0,915,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r09,A,0.7,0.5,1.4285714285714286,L1,1.0,16,9,1009,200,225.11272385181948,41,9715,0.35220447104411357,1.470403953679928,6.142440991770522,1.6538284238590433,1.8660792508428126,1.0340132141929204,4.330503393386443,1.2316298153326888,5.674043178854795,0.8530454777446528,0.7157894736842105,0.9975652173913043,0.717536519122073,0.511315480309727,0.1272030648768919,0.12133735097501373,0.1308458982426502,0,0.511315480309727,False,8141.0,7231,6186.0,924,8052.0,881,7993.0,946,2
e2b_A_p0.7_c016_l0.50_L1_g1.0_cv2_r10,A,0.7,0.5,1.4285714285714286,L1,1.0,16,10,1010,200,229.6305916514016,78,9697,0.3556765299479347,1.4644431924150236,6.652653535521075,1.639787780781365,1.84637150136532,1.0323149428433829,4.26771212844128,1.1871588025504933,6.205143823721838,0.8173905699405896,0.7261525079733256,0.9971418363701322,0.7282339196765814,0.5313330658451048,0.12556009765618506,0.12640678024267002,0.12889100982706234,0,0.5313330658451048,False,8186.0,7291,6272.0,886,8001.0,899,6196.0,907,2
