p_hot,c,load,gamma,rho_hot_frozen,rho_hot_full,rho_B_pernode,hot_ratio_meanW,hot_ratio_p99TTFT,cold_ratio_p99TTFT_primary,cold_ratio_p99TTFT_mix,agg_mean_ratio_primary,agg_mean_ratio_mix,slo_flag_hotA,slo_flag_coldA_primary,slo_flag_coldA_mix,slo_crossed_primary,slo_crossed_mix,stable_frozen,stable_full,G_pp_L1,G_pp_L2
0.5,16,0.65,1.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,16,0.65,2.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,16,0.8,0.5,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,16,0.8,1.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,16,0.8,2.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,32,0.5,0.5,0.5,0.75,0.375,4.004677754677755,2.3339874301004966,0.8847858197201799,1.5608145818514876,1.3343744577477008,1.4388664757938572,True,True,False,True,False,True,True,0.0,0.0
0.5,32,0.5,1.0,0.5,0.75,0.375,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,32,0.5,2.0,0.5,0.75,0.375,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,32,0.65,0.5,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True,0.0,0.0
0.5,32,0.65,1.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,32,0.65,2.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,32,0.8,0.5,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,32,0.8,1.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,32,0.8,2.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,64,0.5,0.5,0.5,0.75,0.375,4.004677754677755,2.3339874301004966,0.8847858197201799,1.5608145818514876,1.3343744577477008,1.4388664757938572,True,True,False,True,False,True,True,0.0,0.0
0.5,64,0.5,1.0,0.5,0.75,0.375,4.004677754677755,2.333949014541657,0.8847676205954377,1.5607898551247001,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,64,0.5,2.0,0.5,0.75,0.375,4.004677754677755,2.3339566997374117,0.8847767201138768,1.5608022184284045,1.3343744577477008,1.4388664757938572,True,False,False,False,False,True,True,0.0,0.0
0.5,64,0.65,0.5,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537098822212204,0.8120234463486248,11.415811428494,6.443425264586903,7.838302988637298,True,True,False,True,False,True,True,0.0,0.0
0.5,64,0.65,1.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.53694135157994,0.8120093058942697,11.415714539452559,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,64,0.65,2.0,0.65,0.9750000000000001,0.48750000000000004,32.83835758835771,18.537029065869252,0.8120163760938602,11.415762983784257,6.443425264586903,7.838302988637298,True,False,False,False,False,True,True,0.0,0.0
0.5,64,0.8,0.5,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,64,0.8,1.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.5,64,0.8,2.0,0.8,1.2000000000000002,0.6000000000000001,-3.2037422037422,,,,-0.0627562283191415,-0.27530747398296973,False,False,False,False,False,True,False,0.0,0.0
0.7,8,0.5,0.5,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958945839156371,0.8891148062363489,1.3052739406066212,1.2980168447197058,1.3370861261921063,False,True,True,False,False,True,True,0.0,0.0
0.7,8,0.5,1.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958461344335333,0.8891162547949696,1.305243825454847,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,8,0.5,2.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958703589719386,0.88911553052039,1.3052588829323803,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,8,0.65,0.5,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196792805266713,0.8250856269109267,1.9890807945052802,1.7920263581526616,1.887137631505761,True,True,False,True,False,True,True,0.0,0.0
0.7,8,0.65,1.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1197100408948177,0.8251069264461456,1.9891156783653665,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,8,0.65,2.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196801489014416,0.8251079469789325,1.9891099066960862,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,8,0.8,0.5,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.170939395042257,0.817028753919646,11.844006895090438,8.89708214115125,9.75716039414792,True,True,False,True,False,True,True,0.0,0.0
0.7,8,0.8,1.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171181607028064,0.8170476957770461,11.844119939879524,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,8,0.8,2.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171315349726513,0.8170571668538432,11.844186887844966,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,16,0.5,0.5,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958945839156371,0.8891148062363489,1.3052739406066212,1.2980168447197058,1.3370861261921063,False,True,True,False,False,True,True,0.0,0.0
0.7,16,0.5,1.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958461344335333,0.8891162547949696,1.305243825454847,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,16,0.5,2.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958703589719386,0.88911553052039,1.3052588829323803,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,16,0.65,0.5,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196792805266713,0.8250856269109267,1.9890807945052802,1.7920263581526616,1.887137631505761,True,True,False,True,False,True,True,0.0,0.0
0.7,16,0.65,1.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1197100408948177,0.8251069264461456,1.9891156783653665,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,16,0.65,2.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196801489014416,0.8251079469789325,1.9891099066960862,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,16,0.8,0.5,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.170939395042257,0.817028753919646,11.844006895090438,8.89708214115125,9.75716039414792,True,True,False,True,False,True,True,0.0,0.0
0.7,16,0.8,1.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171181607028064,0.8170476957770461,11.844119939879524,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,16,0.8,2.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171315349726513,0.8170571668538432,11.844186887844966,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,32,0.5,0.5,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958945839156371,0.8891148062363489,1.3052739406066212,1.2980168447197058,1.3370861261921063,False,True,True,False,False,True,True,0.0,0.0
0.7,32,0.5,1.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958461344335333,0.8891162547949696,1.305243825454847,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,32,0.5,2.0,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958703589719386,0.88911553052039,1.3052588829323803,1.2980168447197058,1.3370861261921063,True,False,False,False,False,True,True,0.0,0.0
0.7,32,0.65,0.5,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196792805266713,0.8250856269109267,1.9890807945052802,1.7920263581526616,1.887137631505761,True,True,False,True,False,True,True,0.0,0.0
0.7,32,0.65,1.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1197100408948177,0.8251069264461456,1.9891156783653665,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,32,0.65,2.0,0.65,0.7892857142857144,0.3017857142857143,6.984925077146908,3.1196801489014416,0.8251079469789325,1.9891099066960862,1.7920263581526616,1.887137631505761,True,False,False,False,False,True,True,0.0,0.0
0.7,32,0.8,0.5,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.170939395042257,0.817028753919646,11.844006895090438,8.89708214115125,9.75716039414792,True,True,False,True,False,True,True,0.0,0.0
0.7,32,0.8,1.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171181607028064,0.8170476957770461,11.844119939879524,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,32,0.8,2.0,0.8,0.9714285714285715,0.3714285714285715,46.37561509021339,20.171315349726513,0.8170571668538432,11.844186887844966,8.89708214115125,9.75716039414792,True,False,False,False,False,True,True,0.0,0.0
0.7,64,0.5,0.5,0.5,0.6071428571428572,0.23214285714285715,4.120147621651175,1.8958945839156371,0.8891148062363489,1.3052739406066212,1.2980168447197058,1.3370861261921063,False,True,True,False,False,True,True,0.0,0.0
