timestamp,cpu_percent,ram_percent,ram_used_gb,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,cpu_freq_current_mhz,server_process_cpu_percent,server_process_rss_mb,server_process_threads
1787930351.7820451,15.7,55.6,17.677032470703125,0.0,2047.40625,8188.0,25.00496152906693,1466.0,0.0,678.796875,248
1787930352.1100762,32.8,57.9,18.408519744873047,0.0,2047.40625,8188.0,25.00496152906693,2200.0,509.2,1437.125,248
1787930352.4347582,49.2,57.9,18.414302825927734,0.0,2042.84375,8188.0,24.949239741084515,2200.0,327.3,1429.4453125,248
1787930352.7651415,57.3,57.9,18.411731719970703,0.0,2045.84375,8188.0,24.98587872496336,1466.0,407.2,1426.1328125,248
1787930353.0944085,45.5,57.9,18.414306640625,6.0,2045.84375,8188.0,24.98587872496336,2200.0,402.7,1422.19921875,248
1787930353.418219,43.4,58.1,18.448997497558594,3.0,2045.84375,8188.0,24.98587872496336,2200.0,356.6,1422.40625,248
1787930353.741837,44.8,58.1,18.47893524169922,3.0,2045.84375,8188.0,24.98587872496336,2200.0,381.2,1418.5234375,248
1787930354.0709014,44.0,58.2,18.507266998291016,6.0,2045.84375,8188.0,24.98587872496336,2200.0,334.1,1417.90625,248
1787930354.4059253,43.3,58.1,18.457313537597656,0.0,2045.84375,8188.0,24.98587872496336,2200.0,430.3,1319.7578125,248
1787930354.729292,49.8,55.7,17.68683624267578,0.0,2016.78125,8188.0,24.63093856863703,2200.0,498.3,507.45703125,248
1787930355.0624447,47.2,55.8,17.72164535522461,6.0,2010.78125,8188.0,24.557660600879334,2200.0,290.1,503.5234375,248
1787930355.3903027,51.0,55.9,17.764427185058594,0.0,2006.65625,8188.0,24.507281998045922,2200.0,363.9,496.2890625,248
1787930355.7117686,49.3,56.0,17.80914306640625,0.0,2002.84375,8188.0,24.46071995603322,2200.0,391.2,495.09375,248
1787930356.0516117,44.8,56.2,17.870105743408203,0.0,1982.46875,8188.0,24.211880190522717,2200.0,403.6,494.44140625,248
1787930356.375992,39.4,56.4,17.93471908569336,6.0,1982.46875,8188.0,24.211880190522717,2200.0,443.5,494.3203125,248
1787930356.7368166,46.8,55.6,17.685409545898438,6.0,1982.46875,8188.0,24.211880190522717,1466.0,427.6,155.921875,248
1787930357.0564532,46.0,56.8,18.063758850097656,0.0,1982.46875,8188.0,24.211880190522717,2200.0,405.9,493.9453125,248
1787930357.4051242,47.5,57.1,18.147701263427734,4.0,1982.46875,8188.0,24.211880190522717,2200.0,337.2,493.7578125,248
1787930357.7388046,46.9,57.4,18.228527069091797,4.0,1982.46875,8188.0,24.211880190522717,2200.0,358.5,493.7578125,248
